accuracy	correct_response	duration	onset	participant_response	response_time	trial_type
1	1	2.013	10.993	1.0	1.261	Shapes
1	2	2.015	14.009	2.0	0.608	Shapes
1	1	2.012	17.012	1.0	0.866	Shapes
1	2	2.014	20.028	2.0	0.561	Shapes
1	2	2.012	23.031	2.0	0.72	Shapes
1	1	2.014	26.046	1.0	0.723	Shapes
1	1	2.027	32.051	1.0	0.748	Faces
1	1	2.014	35.065	1.0	0.89	Faces
1	2	2.014	38.083	2.0	1.219	Faces
1	2	2.014	41.1	2.0	1.42	Faces
1	2	2.015	44.117	2.0	1.005	Faces
1	2	2.013	47.136	2.0	0.82	Shapes
1	2	2.012	53.139	2.0	1.3	Shapes
1	2	2.014	56.154	2.0	0.684	Shapes
1	1	2.028	59.158	1.0	0.907	Shapes
1	1	2.014	62.172	1.0	0.787	Shapes
1	1	2.011	65.176	1.0	0.832	Shapes
1	2	2.014	68.191	2.0	0.972	Shapes
1	2	2.014	74.209	2.0	0.791	Faces
1	1	2.012	77.228	1.0	0.749	Faces
1	1	2.013	80.245	1.0	1.434	Faces
1	1	2.014	83.261	1.0	1.463	Faces
1	2	2.014	86.279	2.0	0.834	Faces
1	1	2.014	89.296	1.0	0.783	Shapes
1	2	2.013	95.299	2.0	0.747	Shapes
1	1	2.014	98.315	1.0	0.726	Shapes
1	2	2.012	101.318	2.0	0.63	Shapes
1	2	2.014	104.333	2.0	1.102	Shapes
1	1	2.012	107.336	1.0	0.951	Shapes
1	1	2.014	110.352	1.0	0.848	Shapes
1	2	2.014	116.37	2.0	1.192	Faces
1	1	2.014	119.387	1.0	1.282	Faces
1	2	2.014	122.405	2.0	0.942	Faces
1	2	2.014	125.422	2.0	0.863	Faces
1	2	2.014	128.44	2.0	0.756	Faces
1	1	2.014	131.457	1.0	0.832	Shapes
1	1	2.014	145.467	1.0	0.619	Shapes
1	2	2.012	148.47	2.0	0.888	Shapes
1	2	2.014	151.485	2.0	0.825	Shapes
1	1	2.012	154.488	1.0	0.87	Shapes
1	2	2.014	157.503	2.0	0.544	Shapes
1	1	2.012	160.506	1.0	0.818	Shapes
1	1	2.014	166.522	1.0	0.89	Faces
1	2	2.014	169.54	2.0	0.71	Faces
1	2	2.014	172.557	2.0	0.67	Faces
1	1	2.014	175.575	1.0	0.62	Faces
1	2	2.014	178.592	2.0	0.984	Faces
1	1	2.014	181.609	1.0	1.02	Shapes
1	1	2.013	187.612	1.0	0.859	Shapes
1	1	2.014	190.629	1.0	0.686	Shapes
1	2	2.011	193.632	2.0	0.817	Shapes
1	2	2.014	196.647	2.0	1.289	Shapes
1	1	2.012	199.65	1.0	0.629	Shapes
1	2	2.014	202.665	2.0	0.799	Shapes
1	1	2.027	208.67	1.0	0.685	Faces
1	2	2.014	211.684	2.0	0.628	Faces
1	2	2.014	214.702	2.0	1.33	Faces
1	1	2.014	217.719	1.0	1.097	Faces
1	2	2.015	220.736	2.0	1.22	Faces
1	2	2.014	223.754	2.0	0.724	Shapes
1	1	2.013	229.757	1.0	0.87	Shapes
1	1	2.014	232.773	1.0	0.755	Shapes
1	2	2.012	235.776	2.0	0.709	Shapes
1	2	2.014	238.791	2.0	0.735	Shapes
1	1	2.012	241.794	1.0	0.768	Shapes
1	2	2.014	244.81	2.0	0.876	Shapes
1	1	2.014	250.828	1.0	0.844	Faces
1	2	2.014	253.845	2.0	0.644	Faces
1	1	2.014	256.863	1.0	0.782	Faces
1	1	2.014	259.88	1.0	0.725	Faces
1	1	2.014	262.898	1.0	0.756	Faces
1	2	2.014	265.915	2.0	0.818	Faces
