accuracy	correct_response	duration	onset	participant_response	response_time	trial_type
1	3	2.025	11.0	3.0	1.816	Shapes
1	4	2.021	14.004	4.0	1.128	Shapes
1	3	2.025	17.017	3.0	1.441	Shapes
1	4	2.024	20.034	4.0	0.858	Shapes
1	4	2.025	23.05	4.0	0.964	Shapes
1	3	2.021	26.054	3.0	0.972	Shapes
1	3	2.024	32.084	3.0	1.279	Faces
1	3	2.024	35.101	3.0	1.447	Faces
0	4	2.025	38.117	n/a	0.0	Faces
1	4	2.024	41.134	4.0	1.172	Faces
1	4	2.024	44.151	4.0	0.868	Faces
1	4	2.024	47.168	4.0	0.851	Shapes
1	4	2.025	53.184	4.0	0.736	Shapes
1	4	2.024	56.201	4.0	0.673	Shapes
1	3	2.025	59.217	3.0	0.894	Shapes
1	3	2.021	62.221	3.0	0.69	Shapes
1	3	2.025	65.234	3.0	0.711	Shapes
1	4	2.024	68.251	4.0	0.842	Shapes
1	4	2.025	74.267	4.0	0.719	Faces
1	3	2.025	77.284	3.0	0.761	Faces
1	3	2.024	80.301	3.0	1.137	Faces
1	3	2.024	83.318	3.0	0.958	Faces
1	4	2.025	86.334	4.0	1.173	Faces
1	3	2.024	89.351	3.0	0.808	Shapes
1	4	2.024	95.368	4.0	0.718	Shapes
1	3	2.025	98.384	3.0	1.056	Shapes
1	4	2.021	101.388	4.0	0.638	Shapes
1	4	2.024	104.401	4.0	0.709	Shapes
1	3	2.024	107.418	3.0	0.868	Shapes
1	3	2.025	110.434	3.0	0.771	Shapes
1	4	2.025	116.451	4.0	1.816	Faces
1	3	2.024	119.468	3.0	0.944	Faces
1	4	2.025	122.484	4.0	0.884	Faces
1	4	2.025	125.501	4.0	0.782	Faces
1	4	2.024	128.518	4.0	0.929	Faces
1	3	2.025	131.534	3.0	0.753	Shapes
1	3	2.022	145.537	3.0	0.685	Shapes
1	4	2.025	148.551	4.0	0.681	Shapes
1	4	2.024	151.568	4.0	0.67	Shapes
1	3	2.024	154.585	3.0	0.713	Shapes
1	4	2.025	157.601	4.0	0.618	Shapes
1	3	2.021	160.605	3.0	0.693	Shapes
1	3	2.025	166.618	3.0	0.943	Faces
1	4	2.024	169.635	4.0	0.71	Faces
1	4	2.025	172.651	4.0	0.597	Faces
1	3	2.025	175.668	3.0	0.655	Faces
1	4	2.024	178.685	4.0	0.63	Faces
1	3	2.025	181.701	3.0	0.804	Shapes
1	3	2.022	187.704	3.0	0.674	Shapes
1	3	2.025	190.718	3.0	0.67	Shapes
1	4	2.024	193.735	4.0	0.703	Shapes
1	4	2.024	196.752	4.0	0.588	Shapes
1	3	2.025	199.768	3.0	0.9	Shapes
1	4	2.024	202.785	4.0	0.616	Shapes
1	3	2.024	208.802	3.0	0.682	Faces
1	4	2.025	211.818	4.0	0.722	Faces
1	4	2.024	214.835	4.0	1.52	Faces
1	3	2.024	217.852	3.0	0.972	Faces
1	4	2.025	220.868	4.0	0.807	Faces
1	4	2.025	223.885	4.0	0.73	Shapes
1	3	2.022	229.888	3.0	0.704	Shapes
1	3	2.024	232.902	3.0	0.753	Shapes
1	4	2.025	235.918	4.0	0.859	Shapes
1	4	2.021	238.922	4.0	0.706	Shapes
1	3	2.025	241.935	3.0	0.802	Shapes
1	4	2.024	244.952	4.0	0.706	Shapes
1	3	2.024	250.969	3.0	1.271	Faces
1	4	2.025	253.985	4.0	0.852	Faces
1	3	2.024	257.002	3.0	0.73	Faces
1	3	2.024	260.019	3.0	0.692	Faces
1	3	2.025	263.035	3.0	0.676	Faces
1	4	2.025	266.052	4.0	0.801	Faces
