accuracy	correct_response	duration	onset	participant_response	response_time	trial_type
1	1	2.026	11.013	1.0	1.163	Shapes
1	2	2.027	14.032	2.0	1.119	Shapes
1	1	2.027	17.052	1.0	0.731	Shapes
1	2	2.024	20.058	2.0	0.892	Shapes
1	2	2.026	23.076	2.0	1.275	Shapes
1	1	2.024	26.082	1.0	0.883	Shapes
1	1	2.027	32.119	1.0	0.841	Faces
0	1	2.024	35.142	2.0	1.574	Faces
0	2	2.026	38.176	1.0	1.128	Faces
0	2	2.027	41.212	1.0	1.515	Faces
1	2	2.027	44.249	2.0	0.913	Faces
1	2	2.026	47.286	2.0	0.854	Shapes
1	2	2.027	53.292	2.0	0.791	Shapes
0	2	2.024	56.298	1.0	1.225	Shapes
0	1	2.026	59.316	2.0	1.108	Shapes
0	1	2.024	62.322	2.0	1.309	Shapes
1	1	2.027	65.339	1.0	1.798	Shapes
1	2	2.024	68.345	2.0	0.779	Shapes
1	2	2.024	74.368	2.0	1.816	Faces
1	1	2.027	77.402	1.0	1.457	Faces
0	1	2.027	80.439	2.0	1.397	Faces
0	1	2.026	83.476	2.0	0.962	Faces
0	2	2.027	86.512	1.0	1.169	Faces
1	1	2.027	89.532	1.0	1.253	Shapes
1	2	2.027	95.539	2.0	1.292	Shapes
1	1	2.024	98.545	1.0	1.434	Shapes
1	2	2.026	101.563	2.0	1.5	Shapes
1	2	2.026	104.583	2.0	1.491	Shapes
1	1	2.027	107.602	1.0	0.832	Shapes
1	1	2.024	110.608	1.0	0.923	Shapes
0	2	2.027	116.629	n/a	0.0	Faces
1	1	2.027	119.649	1.0	1.95	Faces
0	2	2.027	122.669	1.0	1.693	Faces
1	2	2.027	125.689	2.0	1.329	Faces
1	2	2.027	128.709	2.0	1.144	Faces
1	1	2.027	131.729	1.0	1.596	Shapes
0	1	2.026	145.745	2.0	0.979	Shapes
1	2	2.023	148.751	2.0	1.186	Shapes
1	2	2.026	151.768	2.0	1.434	Shapes
1	1	2.026	154.788	1.0	1.652	Shapes
1	2	2.023	157.795	2.0	1.092	Shapes
1	1	2.027	160.811	1.0	0.813	Shapes
1	1	2.024	166.82	1.0	1.396	Faces
1	2	2.026	169.838	2.0	0.747	Faces
1	2	2.026	172.858	2.0	1.326	Faces
1	1	2.026	175.878	1.0	1.4	Faces
1	2	2.026	178.898	2.0	1.818	Faces
1	1	2.026	181.918	1.0	1.348	Shapes
0	1	2.027	187.924	2.0	1.178	Shapes
0	1	2.024	190.93	2.0	0.936	Shapes
1	2	2.026	193.948	2.0	0.862	Shapes
1	2	2.024	196.954	2.0	1.602	Shapes
1	1	2.027	199.971	1.0	0.905	Shapes
1	2	2.024	202.977	2.0	0.886	Shapes
1	1	2.026	208.998	1.0	1.847	Faces
1	2	2.026	212.018	2.0	0.846	Faces
1	2	2.026	215.038	2.0	1.352	Faces
1	1	2.026	218.058	1.0	1.797	Faces
1	2	2.026	221.078	2.0	1.382	Faces
1	2	2.026	224.098	2.0	1.204	Shapes
1	1	2.027	230.104	1.0	1.496	Shapes
1	1	2.024	233.11	1.0	1.478	Shapes
1	2	2.026	236.128	2.0	1.305	Shapes
1	2	2.024	239.134	2.0	1.302	Shapes
0	1	2.027	242.151	2.0	1.204	Shapes
1	2	2.024	245.157	2.0	1.036	Shapes
1	1	2.026	251.178	1.0	1.862	Faces
1	2	2.026	254.198	2.0	0.892	Faces
1	1	2.026	257.218	1.0	1.797	Faces
1	1	2.026	260.238	1.0	1.103	Faces
0	1	2.026	263.258	2.0	1.024	Faces
0	2	2.026	266.278	1.0	1.082	Faces
