accuracy	correct_response	duration	onset	participant_response	response_time	trial_type
1	2	2.133	10.999	2.0	1.958	Shapes
0	3	2.117	14.032	n/a	0.0	Shapes
1	2	2.116	17.049	2.0	0.973	Shapes
1	3	2.116	20.066	3.0	0.916	Shapes
1	3	2.116	23.099	3.0	0.997	Shapes
1	2	2.116	26.132	2.0	0.934	Shapes
1	2	2.117	32.165	2.0	1.06	Faces
1	2	2.117	35.198	2.0	0.794	Faces
1	3	2.117	38.231	3.0	1.703	Faces
1	3	2.116	41.265	3.0	1.642	Faces
1	3	2.116	44.298	3.0	1.431	Faces
1	3	2.117	47.331	3.0	1.179	Shapes
1	3	2.116	53.348	3.0	0.797	Shapes
1	3	2.116	56.381	3.0	0.59	Shapes
1	2	2.116	59.414	2.0	1.327	Shapes
1	2	2.117	62.447	2.0	0.767	Shapes
1	2	2.117	65.48	2.0	0.814	Shapes
1	3	2.116	68.497	3.0	1.45	Shapes
1	3	2.116	74.53	3.0	0.938	Faces
1	2	2.117	77.563	2.0	0.93	Faces
1	2	2.117	80.596	2.0	1.059	Faces
1	2	2.117	83.629	2.0	1.766	Faces
1	3	2.116	86.663	3.0	0.856	Faces
1	2	2.116	89.696	2.0	0.705	Shapes
1	3	2.116	95.713	3.0	0.636	Shapes
1	2	2.117	98.745	2.0	0.789	Shapes
1	3	2.117	101.762	3.0	0.72	Shapes
1	3	2.116	104.779	3.0	0.789	Shapes
1	2	2.116	107.812	2.0	0.694	Shapes
1	2	2.116	110.845	2.0	0.676	Shapes
1	3	2.05	116.878	3.0	0.986	Faces
1	2	2.05	119.894	2.0	0.694	Faces
1	3	2.117	122.911	3.0	1.056	Faces
1	3	2.117	125.944	3.0	1.032	Faces
1	3	2.117	128.977	3.0	0.967	Faces
1	2	2.116	132.011	2.0	0.818	Shapes
1	2	2.117	146.043	2.0	0.66	Shapes
1	3	2.116	149.06	3.0	0.694	Shapes
1	3	2.117	152.093	3.0	0.703	Shapes
1	2	2.116	155.11	2.0	0.724	Shapes
1	3	2.116	158.143	3.0	0.573	Shapes
1	2	2.117	161.176	2.0	0.535	Shapes
1	2	2.117	167.209	2.0	0.883	Faces
1	3	2.117	170.242	3.0	0.797	Faces
1	3	2.116	173.276	3.0	0.863	Faces
1	2	2.116	176.309	2.0	0.58	Faces
1	3	2.117	179.342	3.0	0.845	Faces
1	2	2.117	182.375	2.0	0.734	Shapes
1	2	2.116	188.392	2.0	0.819	Shapes
1	2	2.116	191.425	2.0	0.624	Shapes
1	3	2.117	194.458	3.0	0.698	Shapes
1	3	2.116	197.475	3.0	0.708	Shapes
1	2	2.116	200.508	2.0	0.747	Shapes
1	3	2.116	203.541	3.0	0.706	Shapes
1	2	2.117	209.574	2.0	0.643	Faces
1	3	2.117	212.607	3.0	0.773	Faces
1	3	2.117	215.64	3.0	0.993	Faces
1	2	2.116	218.674	2.0	0.691	Faces
1	3	2.116	221.707	3.0	1.227	Faces
1	3	2.117	224.74	3.0	0.882	Shapes
1	2	2.116	230.757	2.0	0.666	Shapes
1	2	2.116	233.79	2.0	0.924	Shapes
1	3	2.116	236.823	3.0	0.612	Shapes
1	3	2.117	239.856	3.0	0.566	Shapes
1	2	2.116	242.873	2.0	0.723	Shapes
1	3	2.116	245.906	3.0	0.736	Shapes
1	2	2.116	251.939	2.0	0.68	Faces
1	3	2.117	254.972	3.0	0.688	Faces
1	2	2.117	258.005	2.0	0.711	Faces
1	2	2.117	261.038	2.0	0.657	Faces
1	2	2.116	264.072	2.0	1.138	Faces
1	3	2.116	267.105	3.0	0.812	Faces
