accuracy	correct_response	duration	onset	participant_response	response_time	trial_type
0	1	2.014	11.009	n/a	0.0	Shapes
0	2	2.012	14.012	n/a	0.0	Shapes
0	1	2.014	17.027	n/a	0.0	Shapes
0	2	2.012	20.03	n/a	0.0	Shapes
1	2	2.014	23.045	2.0	1.105	Shapes
0	1	2.012	26.048	n/a	0.0	Shapes
1	1	2.015	32.064	1.0	1.07	Faces
1	1	2.014	35.082	1.0	1.219	Faces
1	2	2.014	38.099	2.0	1.54	Faces
1	2	2.014	41.117	2.0	1.169	Faces
1	2	2.014	44.134	2.0	1.079	Faces
1	2	2.014	47.152	2.0	0.767	Shapes
0	2	2.012	53.155	n/a	0.0	Shapes
0	2	2.014	56.171	n/a	0.0	Shapes
0	1	2.012	59.174	n/a	0.0	Shapes
0	1	2.014	62.189	n/a	0.0	Shapes
0	1	2.011	65.193	n/a	0.0	Shapes
0	2	2.014	68.207	n/a	0.0	Shapes
1	2	2.014	74.226	2.0	1.592	Faces
1	1	2.013	77.244	1.0	0.965	Faces
1	1	2.014	80.26	1.0	0.911	Faces
1	1	2.014	83.278	1.0	1.621	Faces
1	2	2.014	86.295	2.0	0.847	Faces
1	1	2.014	89.313	1.0	0.792	Shapes
0	2	2.012	95.316	n/a	0.0	Shapes
0	1	2.014	98.332	n/a	0.0	Shapes
1	2	2.027	101.336	2.0	1.538	Shapes
1	2	2.014	104.35	2.0	0.924	Shapes
1	1	2.012	107.353	1.0	1.038	Shapes
1	1	2.014	110.368	1.0	0.848	Shapes
1	2	2.011	116.373	2.0	1.467	Faces
1	1	2.014	119.388	1.0	0.926	Faces
1	2	2.014	122.405	2.0	1.43	Faces
0	2	2.014	125.422	n/a	0.0	Faces
1	2	2.014	128.44	2.0	0.791	Faces
1	1	2.014	131.457	1.0	0.908	Shapes
1	1	2.014	145.467	1.0	0.862	Shapes
1	2	2.012	148.47	2.0	0.704	Shapes
0	2	2.014	151.485	1.0	1.474	Shapes
1	1	2.028	154.489	1.0	0.918	Shapes
1	2	2.014	157.503	2.0	1.899	Shapes
1	1	2.012	160.506	1.0	0.998	Shapes
1	1	2.015	166.522	1.0	0.767	Faces
1	2	2.014	169.54	2.0	0.857	Faces
1	2	2.014	172.557	2.0	0.726	Faces
1	1	2.014	175.575	1.0	0.764	Faces
1	2	2.014	178.592	2.0	0.771	Faces
1	1	2.014	181.61	1.0	0.682	Shapes
1	1	2.013	187.613	1.0	0.797	Shapes
1	1	2.014	190.629	1.0	1.321	Shapes
1	2	2.027	193.633	2.0	0.701	Shapes
1	2	2.014	196.647	2.0	1.67	Shapes
1	1	2.011	199.651	1.0	0.938	Shapes
0	2	2.014	202.665	1.0	1.477	Shapes
1	1	2.011	208.67	1.0	1.403	Faces
1	2	2.014	211.684	2.0	1.077	Faces
1	2	2.014	214.702	2.0	1.992	Faces
0	1	2.014	217.719	n/a	0.0	Faces
1	2	2.014	220.737	2.0	1.699	Faces
1	2	2.014	223.754	2.0	0.944	Shapes
1	1	2.013	229.757	1.0	0.841	Shapes
1	1	2.014	232.773	1.0	1.399	Shapes
0	2	2.012	235.776	1.0	1.452	Shapes
1	2	2.015	238.791	2.0	1.304	Shapes
0	1	2.011	241.795	2.0	1.552	Shapes
1	2	2.014	244.81	2.0	1.039	Shapes
1	1	2.014	250.828	1.0	0.942	Faces
1	2	2.015	253.845	2.0	1.581	Faces
1	1	2.014	256.863	1.0	0.792	Faces
1	1	2.014	259.88	1.0	0.895	Faces
1	1	2.014	262.898	1.0	0.917	Faces
1	2	2.014	265.915	2.0	0.79	Faces
