accuracy	correct_response	duration	onset	participant_response	response_time	trial_type
0	2	2.133	11.033	n/a	0.0	Shapes
1	3	2.117	14.066	3.0	1.626	Shapes
1	2	2.117	17.116	2.0	0.809	Shapes
1	3	2.117	20.149	3.0	1.069	Shapes
1	3	2.116	23.166	3.0	0.934	Shapes
1	2	2.116	26.199	2.0	1.209	Shapes
1	2	2.117	32.265	2.0	0.965	Faces
1	2	2.116	35.332	2.0	1.223	Faces
0	3	2.117	38.365	2.0	0.984	Faces
1	3	2.116	41.415	3.0	1.138	Faces
1	3	2.117	44.481	3.0	1.119	Faces
1	3	2.117	47.531	3.0	0.992	Shapes
1	3	2.116	53.548	3.0	0.797	Shapes
1	3	2.116	56.581	3.0	0.697	Shapes
1	2	2.117	59.614	2.0	1.032	Shapes
1	2	2.116	62.631	2.0	0.964	Shapes
1	2	2.116	65.664	2.0	0.794	Shapes
1	3	2.117	68.697	3.0	0.859	Shapes
1	3	2.116	74.747	3.0	0.907	Faces
1	2	2.116	77.83	2.0	0.859	Faces
1	2	2.116	80.88	2.0	1.089	Faces
1	2	2.116	83.93	2.0	0.959	Faces
0	3	2.117	86.979	2.0	1.145	Faces
1	2	2.116	90.013	2.0	1.966	Shapes
1	3	2.116	96.046	3.0	0.998	Shapes
1	2	2.117	99.079	2.0	1.08	Shapes
1	3	2.116	102.096	3.0	0.975	Shapes
1	3	2.116	105.129	3.0	0.855	Shapes
1	2	2.116	108.162	2.0	0.876	Shapes
1	2	2.117	111.195	2.0	0.944	Shapes
0	3	2.117	117.228	2.0	1.74	Faces
1	2	2.117	120.261	2.0	1.026	Faces
1	3	2.116	123.295	3.0	0.964	Faces
1	3	2.116	126.328	3.0	0.945	Faces
1	3	2.117	129.361	3.0	0.938	Faces
1	2	2.117	132.394	2.0	0.99	Shapes
1	2	2.116	146.411	2.0	1.091	Shapes
1	3	2.117	149.443	3.0	0.737	Shapes
1	3	2.117	152.46	3.0	0.931	Shapes
1	2	2.116	155.477	2.0	0.78	Shapes
1	3	2.116	158.51	3.0	0.844	Shapes
1	2	2.116	161.543	2.0	1.002	Shapes
1	2	2.117	167.576	2.0	1.311	Faces
1	3	2.117	170.609	3.0	1.091	Faces
1	3	2.117	173.642	3.0	0.858	Faces
1	2	2.116	176.676	2.0	0.791	Faces
1	3	2.116	179.709	3.0	1.141	Faces
1	2	2.117	182.742	2.0	0.863	Shapes
1	2	2.116	188.759	2.0	0.904	Shapes
1	2	2.116	191.792	2.0	0.702	Shapes
1	3	2.116	194.825	3.0	0.745	Shapes
0	3	2.117	197.858	2.0	1.09	Shapes
1	2	2.116	200.875	2.0	1.098	Shapes
1	3	2.116	203.908	3.0	1.028	Shapes
1	2	2.116	209.941	2.0	1.374	Faces
1	3	2.117	212.974	3.0	1.106	Faces
1	3	2.117	216.007	3.0	1.185	Faces
1	2	2.117	219.04	2.0	1.065	Faces
1	3	2.116	222.074	3.0	1.08	Faces
1	3	2.116	225.107	3.0	0.866	Shapes
1	2	2.116	231.124	2.0	1.168	Shapes
1	2	2.116	234.157	2.0	0.809	Shapes
1	3	2.116	237.19	3.0	1.346	Shapes
1	3	2.116	240.223	3.0	0.906	Shapes
1	2	2.117	243.256	2.0	0.958	Shapes
1	3	2.116	246.273	3.0	0.887	Shapes
1	2	2.116	252.306	2.0	1.206	Faces
1	3	2.116	255.339	3.0	0.832	Faces
1	2	2.117	258.372	2.0	0.874	Faces
1	2	2.117	261.405	2.0	0.753	Faces
1	2	2.117	264.438	2.0	0.942	Faces
1	3	2.116	267.472	3.0	1.034	Faces
