accuracy	correct_response	duration	onset	participant_response	response_time	trial_type
1	2	2.133	11.033	2.0	1.709	Shapes
1	3	2.116	14.066	3.0	1.714	Shapes
1	2	2.133	17.116	2.0	0.971	Shapes
1	3	2.116	20.149	3.0	1.394	Shapes
0	3	2.117	23.182	n/a	0.0	Shapes
1	2	2.116	26.199	2.0	1.104	Shapes
1	2	2.116	32.265	2.0	1.397	Faces
0	2	2.117	35.331	n/a	0.0	Faces
1	3	2.116	38.365	3.0	1.823	Faces
1	3	2.116	41.415	3.0	1.524	Faces
1	3	2.117	44.481	3.0	1.023	Faces
1	3	2.116	47.548	3.0	0.87	Shapes
1	3	2.116	53.565	3.0	0.941	Shapes
1	3	2.117	56.597	3.0	0.767	Shapes
1	2	2.116	59.614	2.0	1.082	Shapes
1	2	2.117	62.647	2.0	0.693	Shapes
1	2	2.117	65.68	2.0	1.142	Shapes
1	3	2.116	68.697	3.0	0.948	Shapes
1	3	2.117	74.763	3.0	1.018	Faces
1	2	2.116	77.83	2.0	1.135	Faces
1	2	2.116	80.863	2.0	1.4	Faces
1	2	2.117	83.929	2.0	0.995	Faces
1	3	2.116	86.963	3.0	1.88	Faces
1	2	2.117	90.012	2.0	0.851	Shapes
1	3	2.116	96.029	3.0	1.573	Shapes
1	2	2.117	99.062	2.0	0.791	Shapes
1	3	2.116	102.079	3.0	1.276	Shapes
1	3	2.116	105.112	3.0	1.14	Shapes
1	2	2.117	108.145	2.0	1.583	Shapes
1	2	2.117	111.178	2.0	0.707	Shapes
1	3	2.117	117.211	3.0	1.224	Faces
1	2	2.117	120.244	2.0	1.803	Faces
1	3	2.116	123.278	3.0	1.628	Faces
1	3	2.116	126.311	3.0	1.047	Faces
1	3	2.117	129.344	3.0	0.748	Faces
1	2	2.117	132.377	2.0	1.256	Shapes
1	2	2.116	146.394	2.0	1.373	Shapes
0	3	2.116	149.427	n/a	0.0	Shapes
1	3	2.116	152.46	3.0	1.056	Shapes
1	2	2.117	155.493	2.0	0.758	Shapes
1	3	2.117	158.526	3.0	1.02	Shapes
1	2	2.116	161.543	2.0	1.085	Shapes
0	2	2.116	167.576	n/a	0.0	Faces
1	3	2.116	170.609	3.0	1.062	Faces
1	3	2.117	173.642	3.0	0.672	Faces
1	2	2.117	176.675	2.0	0.886	Faces
1	3	2.116	179.709	3.0	1.282	Faces
1	2	2.116	182.742	2.0	1.123	Shapes
1	2	2.116	188.759	2.0	0.864	Shapes
1	2	2.117	191.791	2.0	1.722	Shapes
1	3	2.116	194.808	3.0	1.127	Shapes
1	3	2.117	197.841	3.0	1.004	Shapes
1	2	2.116	200.858	2.0	1.291	Shapes
1	3	2.116	203.891	3.0	0.88	Shapes
1	2	2.116	209.924	2.0	1.257	Faces
1	3	2.117	212.957	3.0	0.947	Faces
0	3	2.117	215.99	n/a	0.0	Faces
1	2	2.116	219.024	2.0	1.388	Faces
1	3	2.116	222.057	3.0	0.865	Faces
1	3	2.116	225.09	3.0	0.659	Shapes
1	2	2.116	231.107	2.0	0.671	Shapes
1	2	2.116	234.14	2.0	0.616	Shapes
1	3	2.116	237.173	3.0	0.865	Shapes
1	3	2.116	240.206	3.0	0.863	Shapes
1	2	2.117	243.239	2.0	0.834	Shapes
1	3	2.116	246.256	3.0	1.1	Shapes
1	2	2.116	252.289	2.0	1.981	Faces
1	3	2.116	255.322	3.0	0.764	Faces
1	2	2.117	258.355	2.0	0.98	Faces
1	2	2.117	261.388	2.0	0.857	Faces
1	2	2.116	264.422	2.0	0.702	Faces
1	3	2.116	267.455	3.0	1.044	Faces
