accuracy	correct_response	duration	onset	participant_response	response_time	trial_type
1	1	2.016	11.0	1.0	0.814	Shapes
1	2	2.017	14.016	2.0	0.743	Shapes
1	1	2.017	17.033	1.0	0.693	Shapes
1	2	2.016	20.05	2.0	0.542	Shapes
1	2	2.017	23.066	2.0	0.726	Shapes
1	1	2.016	26.083	1.0	0.631	Shapes
1	1	2.017	32.149	1.0	0.617	Faces
1	1	2.017	35.216	1.0	0.648	Faces
1	2	2.017	38.266	2.0	0.781	Faces
0	2	2.016	41.333	1.0	0.503	Faces
1	2	2.017	44.399	2.0	0.845	Faces
1	2	2.016	47.483	2.0	0.783	Shapes
1	2	2.017	53.499	2.0	0.611	Shapes
1	2	2.016	56.516	2.0	0.59	Shapes
1	1	2.017	59.532	1.0	1.019	Shapes
1	1	2.017	62.549	1.0	0.639	Shapes
1	1	2.016	65.566	1.0	0.763	Shapes
1	2	2.017	68.582	2.0	0.625	Shapes
1	2	2.017	74.649	2.0	0.789	Faces
1	1	2.016	77.716	1.0	0.585	Faces
1	1	2.017	80.749	1.0	0.713	Faces
1	1	2.017	83.799	1.0	0.737	Faces
1	2	2.016	86.866	2.0	1.189	Faces
1	1	2.017	89.882	1.0	0.649	Shapes
1	2	2.016	95.899	2.0	0.78	Shapes
1	1	2.017	98.915	1.0	0.52	Shapes
1	2	2.017	101.932	2.0	0.601	Shapes
1	2	2.016	104.949	2.0	0.797	Shapes
1	1	2.017	107.965	1.0	0.551	Shapes
1	1	2.017	110.982	1.0	0.679	Shapes
1	2	2.016	116.999	2.0	1.73	Faces
1	1	2.017	120.015	1.0	0.663	Faces
0	2	2.016	123.032	1.0	0.72	Faces
1	2	2.017	126.048	2.0	1.019	Faces
1	2	2.017	129.065	2.0	0.718	Faces
1	1	2.016	132.082	1.0	0.782	Shapes
1	1	2.017	146.098	1.0	0.64	Shapes
1	2	2.017	149.115	2.0	0.764	Shapes
1	2	2.016	152.132	2.0	0.695	Shapes
1	1	2.017	155.148	1.0	0.719	Shapes
1	2	2.016	158.165	2.0	0.633	Shapes
1	1	2.017	161.181	1.0	0.701	Shapes
1	1	2.017	167.198	1.0	0.698	Faces
1	2	2.016	170.215	2.0	0.55	Faces
1	2	2.017	173.231	2.0	0.591	Faces
1	1	2.017	176.248	1.0	0.581	Faces
1	2	2.016	179.265	2.0	0.688	Faces
1	1	2.017	182.281	1.0	0.683	Shapes
1	1	2.016	188.298	1.0	0.538	Shapes
1	1	2.017	191.314	1.0	0.708	Shapes
1	2	2.017	194.331	2.0	0.764	Shapes
1	2	2.016	197.348	2.0	0.617	Shapes
1	1	2.017	200.364	1.0	0.595	Shapes
1	2	2.017	203.381	2.0	0.594	Shapes
1	1	2.016	209.398	1.0	0.561	Faces
1	2	2.017	212.414	2.0	0.636	Faces
1	2	2.033	215.431	2.0	1.985	Faces
1	1	2.016	218.448	1.0	0.722	Faces
1	2	2.017	221.464	2.0	1.08	Faces
1	2	2.016	224.481	2.0	0.662	Shapes
1	1	2.017	230.497	1.0	0.546	Shapes
1	1	2.017	233.514	1.0	0.688	Shapes
1	2	2.016	236.531	2.0	0.696	Shapes
1	2	2.017	239.547	2.0	0.637	Shapes
1	1	2.017	242.564	1.0	0.642	Shapes
1	2	2.016	245.581	2.0	0.555	Shapes
1	1	2.017	251.597	1.0	0.766	Faces
1	2	2.017	254.614	2.0	0.575	Faces
1	1	2.017	257.63	1.0	0.544	Faces
1	1	2.017	260.647	1.0	0.671	Faces
1	1	2.016	263.664	1.0	0.623	Faces
1	2	2.017	266.68	2.0	0.705	Faces
