accuracy	correct_response	duration	onset	participant_response	response_time	trial_type
0	1	2.014	11.009	2.0	1.243	Shapes
1	2	2.012	14.012	2.0	1.289	Shapes
1	1	2.014	17.027	1.0	1.716	Shapes
1	2	2.012	20.03	2.0	1.502	Shapes
1	2	2.014	23.046	2.0	1.772	Shapes
0	1	2.012	26.049	2.0	1.267	Shapes
0	1	2.014	32.065	n/a	0.0	Faces
0	1	2.014	35.082	n/a	0.0	Faces
0	2	2.014	38.1	n/a	0.0	Faces
0	2	2.013	41.118	1.0	1.744	Faces
1	2	2.012	44.137	2.0	1.24	Faces
1	2	2.015	47.168	2.0	1.262	Shapes
1	2	2.013	53.171	2.0	1.072	Shapes
1	2	2.014	56.188	2.0	1.632	Shapes
0	1	2.012	59.191	n/a	0.0	Shapes
0	1	2.014	62.206	2.0	0.087	Shapes
1	1	2.012	65.209	1.0	1.559	Shapes
1	2	2.014	68.224	2.0	1.571	Shapes
1	2	2.014	74.242	2.0	1.843	Faces
1	1	2.014	77.26	1.0	1.301	Faces
1	1	2.014	80.277	1.0	1.313	Faces
1	1	2.014	83.295	1.0	1.631	Faces
1	2	2.014	86.312	2.0	1.452	Faces
1	1	2.014	89.33	1.0	1.26	Shapes
1	2	2.012	95.333	2.0	1.039	Shapes
1	1	2.014	98.349	1.0	1.015	Shapes
1	2	2.012	101.352	2.0	1.376	Shapes
1	2	2.014	104.367	2.0	1.858	Shapes
0	1	2.012	107.37	2.0	1.371	Shapes
1	1	2.014	110.385	1.0	1.123	Shapes
1	2	2.011	116.39	2.0	1.761	Faces
1	1	2.014	119.404	1.0	1.549	Faces
1	2	2.014	122.422	2.0	1.587	Faces
1	2	2.014	125.439	2.0	1.473	Faces
1	2	2.014	128.457	2.0	1.191	Faces
1	1	2.014	131.474	1.0	1.121	Shapes
1	1	2.014	145.484	1.0	1.306	Shapes
0	2	2.012	148.487	1.0	1.336	Shapes
1	2	2.014	151.502	2.0	1.455	Shapes
1	1	2.012	154.505	1.0	1.231	Shapes
1	2	2.014	157.52	2.0	1.481	Shapes
0	1	2.012	160.523	2.0	1.845	Shapes
1	1	2.014	166.539	1.0	1.121	Faces
1	2	2.014	169.557	2.0	1.078	Faces
1	2	2.014	172.574	2.0	1.05	Faces
1	1	2.014	175.592	1.0	1.036	Faces
0	2	2.014	178.609	n/a	0.0	Faces
1	1	2.015	181.626	1.0	1.65	Shapes
1	1	2.013	187.629	1.0	1.257	Shapes
1	1	2.014	190.646	1.0	1.473	Shapes
1	2	2.011	193.649	2.0	1.764	Shapes
0	2	2.014	196.664	1.0	1.236	Shapes
1	1	2.012	199.667	1.0	1.068	Shapes
1	2	2.014	202.682	2.0	1.341	Shapes
1	1	2.011	208.687	1.0	1.267	Faces
1	2	2.014	211.701	2.0	1.104	Faces
1	2	2.014	214.719	2.0	1.697	Faces
1	1	2.014	217.736	1.0	1.203	Faces
1	2	2.015	220.753	2.0	1.109	Faces
1	2	2.014	223.771	2.0	1.091	Shapes
1	1	2.013	229.774	1.0	0.996	Shapes
1	1	2.014	232.79	1.0	1.44	Shapes
1	2	2.012	235.793	2.0	1.592	Shapes
1	2	2.014	238.808	2.0	1.036	Shapes
1	1	2.012	241.811	1.0	0.954	Shapes
1	2	2.014	244.827	2.0	1.384	Shapes
1	1	2.014	250.845	1.0	1.083	Faces
1	2	2.014	253.862	2.0	1.087	Faces
1	1	2.014	256.88	1.0	1.153	Faces
1	1	2.014	259.897	1.0	0.984	Faces
1	1	2.014	262.915	1.0	1.355	Faces
1	2	2.014	265.932	2.0	1.692	Faces
