accuracy	correct_response	duration	onset	participant_response	response_time	trial_type
1	1	2.016	11.0	1.0	1.791	Shapes
1	2	2.017	14.016	2.0	0.902	Shapes
0	1	2.017	17.033	n/a	0.0	Shapes
1	2	2.016	20.05	2.0	1.209	Shapes
1	2	2.017	23.066	2.0	1.363	Shapes
1	1	2.016	26.083	1.0	1.255	Shapes
1	1	2.017	32.099	1.0	1.109	Faces
1	1	2.017	35.116	1.0	1.318	Faces
0	2	2.016	38.133	1.0	1.649	Faces
1	2	2.017	41.149	2.0	1.524	Faces
1	2	2.016	44.166	2.0	1.103	Faces
1	2	2.017	47.182	2.0	1.089	Shapes
1	2	2.016	53.199	2.0	1.056	Shapes
1	2	2.017	56.215	2.0	0.807	Shapes
1	1	2.033	59.232	1.0	1.993	Shapes
1	1	2.016	62.249	1.0	1.32	Shapes
1	1	2.017	65.265	1.0	1.078	Shapes
0	2	2.016	68.282	n/a	0.0	Shapes
1	2	2.017	74.298	2.0	1.412	Faces
1	1	2.017	77.315	1.0	1.816	Faces
1	1	2.016	80.332	1.0	1.215	Faces
1	1	2.017	83.348	1.0	1.492	Faces
1	2	2.016	86.365	2.0	1.281	Faces
1	1	2.017	89.381	1.0	1.019	Shapes
1	2	2.017	95.398	2.0	1.468	Shapes
1	1	2.016	98.415	1.0	1.334	Shapes
1	2	2.017	101.431	2.0	0.861	Shapes
1	2	2.016	104.448	2.0	1.146	Shapes
1	1	2.017	107.464	1.0	0.852	Shapes
1	1	2.017	110.481	1.0	1.18	Shapes
1	2	2.017	116.497	2.0	1.153	Faces
1	1	2.017	119.514	1.0	1.749	Faces
1	2	2.016	122.531	2.0	1.314	Faces
1	2	2.017	125.547	2.0	1.211	Faces
1	2	2.016	128.564	2.0	0.951	Faces
1	1	2.017	131.58	1.0	0.855	Shapes
1	1	2.016	145.597	1.0	0.898	Shapes
1	2	2.017	148.613	2.0	0.872	Shapes
1	2	2.017	151.63	2.0	1.037	Shapes
1	1	2.016	154.647	1.0	0.805	Shapes
1	2	2.017	157.663	2.0	0.825	Shapes
1	1	2.016	160.68	1.0	1.438	Shapes
1	1	2.017	166.696	1.0	1.075	Faces
1	2	2.017	169.713	2.0	1.295	Faces
1	2	2.016	172.73	2.0	0.862	Faces
1	1	2.017	175.746	1.0	0.704	Faces
1	2	2.033	178.763	2.0	0.796	Faces
1	1	2.017	181.779	1.0	1.67	Shapes
1	1	2.016	187.796	1.0	1.075	Shapes
1	1	2.017	190.812	1.0	0.809	Shapes
1	2	2.017	193.829	2.0	0.668	Shapes
1	2	2.016	196.846	2.0	0.804	Shapes
1	1	2.017	199.862	1.0	0.913	Shapes
1	2	2.016	202.879	2.0	0.975	Shapes
1	1	2.017	208.895	1.0	1.065	Faces
1	2	2.017	211.912	2.0	0.996	Faces
0	2	2.016	214.929	n/a	0.0	Faces
0	1	2.017	217.945	2.0	1.674	Faces
1	2	2.016	220.962	2.0	1.672	Faces
1	2	2.017	223.978	2.0	1.001	Shapes
1	1	2.017	229.995	1.0	0.996	Shapes
1	1	2.016	233.012	1.0	0.859	Shapes
1	2	2.017	236.028	2.0	0.985	Shapes
1	2	2.016	239.045	2.0	0.693	Shapes
1	1	2.017	242.061	1.0	0.802	Shapes
1	2	2.017	245.078	2.0	1.155	Shapes
1	1	2.017	251.094	1.0	1.594	Faces
1	2	2.017	254.111	2.0	0.911	Faces
1	1	2.016	257.128	1.0	1.504	Faces
1	1	2.017	260.144	1.0	0.815	Faces
1	1	2.016	263.161	1.0	1.018	Faces
1	2	2.017	266.177	2.0	1.203	Faces
