accuracy	correct_response	duration	onset	participant_response	response_time	trial_type
0	2	2.133	11.016	3.0	1.409	Shapes
1	3	2.117	14.049	3.0	1.34	Shapes
1	2	2.116	17.083	2.0	1.181	Shapes
1	3	2.116	20.116	3.0	0.834	Shapes
1	3	2.117	23.149	3.0	0.872	Shapes
1	2	2.116	26.166	2.0	1.289	Shapes
1	2	2.116	32.249	2.0	1.078	Faces
1	2	2.117	35.315	2.0	1.862	Faces
1	3	2.116	38.365	3.0	1.471	Faces
0	3	2.116	41.415	2.0	1.951	Faces
1	3	2.117	44.498	3.0	1.402	Faces
1	3	2.117	47.564	3.0	1.141	Shapes
1	3	2.116	53.581	3.0	0.795	Shapes
1	3	2.117	56.614	3.0	1.494	Shapes
1	2	2.116	59.631	2.0	1.209	Shapes
1	2	2.116	62.664	2.0	0.973	Shapes
1	2	2.117	65.697	2.0	1.073	Shapes
1	3	2.116	68.714	3.0	0.961	Shapes
1	3	2.117	74.763	3.0	1.344	Faces
1	2	2.117	77.846	2.0	1.316	Faces
0	2	2.116	80.88	n/a	0.0	Faces
1	2	2.117	83.946	2.0	1.281	Faces
1	3	2.117	86.979	3.0	1.116	Faces
1	2	2.117	90.029	2.0	1.332	Shapes
1	3	2.116	96.046	3.0	0.766	Shapes
1	2	2.116	99.079	2.0	1.393	Shapes
1	3	2.116	102.112	3.0	0.797	Shapes
1	3	2.117	105.145	3.0	0.835	Shapes
1	2	2.116	108.162	2.0	0.866	Shapes
1	2	2.116	111.195	2.0	1.054	Shapes
1	3	2.116	117.228	3.0	1.356	Faces
1	2	2.117	120.261	2.0	1.393	Faces
1	3	2.117	123.294	3.0	1.651	Faces
0	3	2.117	126.327	n/a	0.0	Faces
1	3	2.116	129.361	3.0	1.182	Faces
1	2	2.116	132.394	2.0	1.118	Shapes
1	2	2.117	146.426	2.0	1.025	Shapes
1	3	2.117	149.443	3.0	0.757	Shapes
1	3	2.116	152.46	3.0	0.828	Shapes
1	2	2.116	155.493	2.0	0.822	Shapes
1	3	2.117	158.526	3.0	0.708	Shapes
0	2	2.116	161.543	3.0	0.906	Shapes
0	2	2.116	167.576	3.0	1.301	Faces
1	3	2.116	170.609	3.0	1.224	Faces
1	3	2.116	173.642	3.0	0.817	Faces
1	2	2.117	176.675	2.0	0.783	Faces
1	3	2.117	179.708	3.0	1.278	Faces
1	2	2.117	182.741	2.0	1.434	Shapes
1	2	2.116	188.758	2.0	1.041	Shapes
1	2	2.117	191.791	2.0	0.981	Shapes
1	3	2.116	194.808	3.0	0.85	Shapes
1	3	2.116	197.841	3.0	0.842	Shapes
1	2	2.116	200.874	2.0	0.896	Shapes
1	3	2.116	203.891	3.0	0.865	Shapes
1	2	2.117	209.923	2.0	0.907	Faces
1	3	2.116	212.957	3.0	0.924	Faces
1	3	2.116	215.99	3.0	1.577	Faces
1	2	2.117	219.023	2.0	1.228	Faces
1	3	2.117	222.056	3.0	1.28	Faces
1	3	2.117	225.089	3.0	1.134	Shapes
1	2	2.116	231.106	2.0	0.825	Shapes
1	2	2.117	234.139	2.0	0.841	Shapes
1	3	2.116	237.156	3.0	0.724	Shapes
1	3	2.116	240.189	3.0	0.601	Shapes
1	2	2.116	243.222	2.0	0.822	Shapes
1	3	2.117	246.255	3.0	0.647	Shapes
0	2	2.117	252.288	n/a	0.0	Faces
1	3	2.117	255.321	3.0	1.628	Faces
1	2	2.116	258.355	2.0	1.549	Faces
0	2	2.116	261.388	3.0	1.138	Faces
1	2	2.116	264.421	2.0	1.167	Faces
1	3	2.117	267.454	3.0	0.934	Faces
