accuracy	correct_response	duration	onset	participant_response	response_time	trial_type
1	3	2.025	11.017	3.0	1.076	Shapes
1	4	2.022	14.02	4.0	0.825	Shapes
1	3	2.024	17.034	3.0	0.876	Shapes
1	4	2.021	20.037	4.0	0.947	Shapes
1	4	2.024	23.051	4.0	0.735	Shapes
1	3	2.025	26.067	3.0	0.662	Shapes
1	3	2.025	32.084	3.0	0.969	Faces
1	3	2.024	35.101	3.0	1.292	Faces
1	4	2.025	38.117	4.0	1.873	Faces
1	4	2.025	41.134	4.0	1.231	Faces
1	4	2.024	44.151	4.0	1.64	Faces
1	4	2.025	47.167	4.0	1.09	Shapes
1	4	2.022	53.17	4.0	0.759	Shapes
1	4	2.025	56.184	4.0	0.581	Shapes
1	3	2.022	59.187	3.0	1.22	Shapes
1	3	2.024	62.201	3.0	0.864	Shapes
1	3	2.021	65.204	3.0	0.955	Shapes
1	4	2.024	68.218	4.0	0.898	Shapes
1	4	2.025	74.234	4.0	0.831	Faces
1	3	2.025	77.251	3.0	0.844	Faces
1	3	2.024	80.268	3.0	0.99	Faces
1	3	2.023	83.286	3.0	0.935	Faces
1	4	2.025	86.301	4.0	0.898	Faces
1	3	2.024	89.318	3.0	0.823	Shapes
1	4	2.021	95.321	4.0	0.902	Shapes
1	3	2.024	98.335	3.0	0.658	Shapes
1	4	2.025	101.351	4.0	0.615	Shapes
1	4	2.022	104.354	4.0	0.656	Shapes
1	3	2.024	107.368	3.0	0.6	Shapes
1	3	2.021	110.371	3.0	1.05	Shapes
1	4	2.024	116.385	4.0	1.48	Faces
1	3	2.025	119.401	3.0	0.9	Faces
1	4	2.025	122.418	4.0	0.793	Faces
1	4	2.024	125.435	4.0	0.901	Faces
1	4	2.025	128.451	4.0	0.825	Faces
1	3	2.025	131.468	3.0	0.756	Shapes
1	3	2.022	145.471	3.0	0.74	Shapes
1	4	2.024	148.485	4.0	0.714	Shapes
1	4	2.021	151.488	4.0	0.608	Shapes
1	3	2.024	154.502	3.0	0.663	Shapes
1	4	2.025	157.518	4.0	0.668	Shapes
1	3	2.022	160.521	3.0	0.579	Shapes
1	3	2.025	166.535	3.0	1.099	Faces
1	4	2.024	169.552	4.0	0.989	Faces
1	4	2.024	172.569	4.0	0.712	Faces
1	3	2.025	175.585	3.0	0.687	Faces
1	4	2.025	178.602	4.0	0.795	Faces
1	3	2.025	181.618	3.0	0.926	Shapes
1	3	2.022	187.621	3.0	0.8	Shapes
1	3	2.025	190.635	3.0	0.65	Shapes
1	4	2.022	193.638	4.0	0.671	Shapes
1	4	2.024	196.652	4.0	0.59	Shapes
1	3	2.021	199.655	3.0	0.815	Shapes
1	4	2.024	202.669	4.0	0.738	Shapes
1	3	2.025	208.685	3.0	0.941	Faces
1	4	2.025	211.702	4.0	0.674	Faces
1	4	2.024	214.719	4.0	1.11	Faces
1	3	2.025	217.735	3.0	1.04	Faces
1	4	2.025	220.752	4.0	0.978	Faces
1	4	2.024	223.769	4.0	0.684	Shapes
1	3	2.021	229.772	3.0	0.871	Shapes
1	3	2.024	232.786	3.0	0.751	Shapes
1	4	2.025	235.802	4.0	0.749	Shapes
1	4	2.022	238.805	4.0	0.652	Shapes
1	3	2.024	241.819	3.0	0.601	Shapes
1	4	2.021	244.822	4.0	0.672	Shapes
1	3	2.024	250.836	3.0	1.107	Faces
1	4	2.025	253.852	4.0	0.657	Faces
1	3	2.025	256.869	3.0	0.994	Faces
1	3	2.024	259.886	3.0	0.712	Faces
1	3	2.025	262.902	3.0	0.727	Faces
1	4	2.025	265.919	4.0	0.786	Faces
