accuracy	correct_response	duration	onset	participant_response	response_time	trial_type
1	2	2.133	11.049	2.0	1.526	Shapes
1	3	2.117	14.082	3.0	0.822	Shapes
1	2	2.117	17.132	2.0	1.352	Shapes
1	3	2.116	20.149	3.0	0.995	Shapes
1	3	2.116	23.182	3.0	0.982	Shapes
1	2	2.117	26.215	2.0	1.058	Shapes
1	2	2.117	32.281	2.0	0.983	Faces
1	2	2.116	35.348	2.0	1.657	Faces
1	3	2.116	38.398	3.0	1.734	Faces
1	3	2.116	41.448	3.0	1.869	Faces
1	3	2.116	44.531	3.0	1.551	Faces
1	3	2.117	47.597	3.0	1.472	Shapes
0	3	2.116	53.614	n/a	0.0	Shapes
1	3	2.116	56.647	3.0	1.042	Shapes
1	2	2.117	59.68	2.0	1.063	Shapes
1	2	2.117	62.713	2.0	1.22	Shapes
1	2	2.116	65.73	2.0	1.019	Shapes
1	3	2.117	68.763	3.0	0.866	Shapes
1	3	2.116	74.813	3.0	1.301	Faces
1	2	2.116	77.896	2.0	1.224	Faces
0	2	2.117	80.929	n/a	0.0	Faces
1	2	2.116	83.996	2.0	1.484	Faces
1	3	2.116	87.029	3.0	1.169	Faces
1	2	2.116	90.079	2.0	1.208	Shapes
1	3	2.116	96.112	3.0	0.969	Shapes
1	2	2.117	99.145	2.0	0.54	Shapes
1	3	2.116	102.162	3.0	1.413	Shapes
1	3	2.116	105.195	3.0	0.953	Shapes
1	2	2.116	108.228	2.0	0.737	Shapes
1	2	2.117	111.261	2.0	0.75	Shapes
0	3	2.117	117.294	n/a	0.0	Faces
1	2	2.117	120.327	2.0	0.857	Faces
1	3	2.117	123.36	3.0	1.827	Faces
0	3	2.116	126.394	n/a	0.0	Faces
1	3	2.116	129.427	3.0	1.298	Faces
1	2	2.117	132.46	2.0	0.761	Shapes
1	2	2.116	146.477	2.0	0.914	Shapes
1	3	2.117	149.509	3.0	1.091	Shapes
1	3	2.116	152.526	3.0	1.209	Shapes
1	2	2.117	155.559	2.0	0.587	Shapes
1	3	2.117	158.592	3.0	0.774	Shapes
1	2	2.116	161.609	2.0	0.739	Shapes
1	2	2.116	167.642	2.0	1.493	Faces
1	3	2.117	170.675	3.0	0.997	Faces
1	3	2.117	173.708	3.0	0.911	Faces
1	2	2.117	176.741	2.0	0.73	Faces
1	3	2.116	179.775	3.0	1.642	Faces
1	2	2.116	182.808	2.0	1.595	Shapes
1	2	2.116	188.825	2.0	1.042	Shapes
1	2	2.117	191.857	2.0	0.805	Shapes
1	3	2.116	194.874	3.0	1.099	Shapes
0	3	2.117	197.907	n/a	0.0	Shapes
1	2	2.116	200.924	2.0	1.121	Shapes
1	3	2.116	203.957	3.0	0.905	Shapes
1	2	2.116	209.99	2.0	0.793	Faces
1	3	2.117	213.023	3.0	0.844	Faces
1	3	2.117	216.056	3.0	1.682	Faces
1	2	2.117	219.089	2.0	0.915	Faces
1	3	2.116	222.123	3.0	1.216	Faces
1	3	2.116	225.156	3.0	0.928	Shapes
1	2	2.116	231.173	2.0	0.941	Shapes
1	2	2.117	234.205	2.0	0.905	Shapes
1	3	2.116	237.222	3.0	1.279	Shapes
0	3	2.117	240.255	2.0	0.889	Shapes
0	2	2.116	243.272	n/a	0.0	Shapes
1	3	2.116	246.305	3.0	1.854	Shapes
0	2	2.116	252.338	n/a	0.0	Faces
1	3	2.117	255.371	3.0	0.876	Faces
1	2	2.117	258.404	2.0	1.096	Faces
1	2	2.117	261.437	2.0	0.852	Faces
1	2	2.116	264.471	2.0	1.279	Faces
1	3	2.116	267.504	3.0	1.39	Faces
