accuracy	correct_response	duration	onset	participant_response	response_time	trial_type
1	2	2.083	11.013	2.0	1.56	Shapes
1	3	2.083	14.03	3.0	1.421	Shapes
1	2	2.084	17.046	2.0	1.247	Shapes
0	3	2.067	20.063	n/a	0.0	Shapes
1	3	2.067	23.08	3.0	1.516	Shapes
1	2	2.083	26.097	2.0	1.039	Shapes
1	2	2.068	32.163	2.0	1.859	Faces
1	2	2.068	35.213	2.0	1.419	Faces
1	3	2.083	38.264	3.0	1.118	Faces
1	3	2.083	41.297	3.0	1.642	Faces
1	3	2.067	44.347	3.0	1.597	Faces
1	3	2.067	47.38	3.0	1.047	Shapes
1	3	2.067	53.397	3.0	0.846	Shapes
1	3	2.083	56.414	3.0	0.936	Shapes
1	2	2.083	59.431	2.0	1.739	Shapes
1	2	2.084	62.447	2.0	1.831	Shapes
1	2	2.067	65.464	2.0	1.389	Shapes
1	3	2.083	68.481	3.0	1.194	Shapes
1	3	2.083	74.548	3.0	0.886	Faces
1	2	2.083	77.598	2.0	1.211	Faces
1	2	2.083	80.648	2.0	1.531	Faces
1	2	2.083	83.698	2.0	0.998	Faces
1	3	2.083	86.748	3.0	1.276	Faces
1	2	2.067	89.798	2.0	0.897	Shapes
1	3	2.067	95.815	3.0	0.91	Shapes
1	2	2.068	98.831	2.0	1.306	Shapes
1	3	2.067	101.848	3.0	0.842	Shapes
1	3	2.083	104.865	3.0	0.945	Shapes
1	2	2.083	107.882	2.0	0.95	Shapes
1	2	2.067	110.898	2.0	1.143	Shapes
1	3	2.067	116.915	3.0	0.993	Faces
1	2	2.083	119.932	2.0	1.176	Faces
1	3	2.083	122.949	3.0	0.872	Faces
1	3	2.068	125.965	3.0	0.831	Faces
1	3	2.084	128.982	3.0	0.72	Faces
1	2	2.082	132.0	2.0	1.479	Shapes
0	2	2.083	146.016	n/a	0.0	Shapes
1	3	2.068	149.032	3.0	0.852	Shapes
1	3	2.067	152.049	3.0	0.894	Shapes
1	2	2.083	155.066	2.0	1.259	Shapes
1	3	2.083	158.083	3.0	1.0	Shapes
1	2	2.067	161.099	2.0	1.154	Shapes
1	2	2.067	167.116	2.0	1.377	Faces
1	3	2.083	170.133	3.0	1.148	Faces
1	3	2.083	173.15	3.0	0.886	Faces
1	2	2.068	176.166	2.0	0.845	Faces
1	3	2.084	179.183	3.0	0.908	Faces
1	2	2.067	182.2	2.0	1.104	Shapes
1	2	2.083	188.217	2.0	1.419	Shapes
1	2	2.067	191.233	2.0	1.102	Shapes
1	3	2.083	194.25	3.0	1.182	Shapes
1	3	2.067	197.267	3.0	1.83	Shapes
1	2	2.083	200.284	2.0	1.198	Shapes
1	3	2.067	203.3	3.0	0.83	Shapes
1	2	2.083	209.317	2.0	0.78	Faces
1	3	2.083	212.334	3.0	0.809	Faces
1	3	2.083	215.351	3.0	0.917	Faces
1	2	2.068	218.367	2.0	1.394	Faces
1	3	2.067	221.384	3.0	1.169	Faces
1	3	2.083	224.401	3.0	0.86	Shapes
1	2	2.067	230.417	2.0	0.952	Shapes
1	2	2.084	233.434	2.0	0.883	Shapes
1	3	2.083	236.451	3.0	1.353	Shapes
1	3	2.083	239.468	3.0	0.876	Shapes
1	2	2.067	242.484	2.0	1.563	Shapes
1	3	2.067	245.501	3.0	0.786	Shapes
1	2	2.083	251.518	2.0	1.407	Faces
1	3	2.083	254.535	3.0	1.113	Faces
1	2	2.068	257.551	2.0	0.909	Faces
1	2	2.084	260.568	2.0	0.887	Faces
1	2	2.067	263.585	2.0	0.983	Faces
1	3	2.083	266.602	3.0	1.021	Faces
