accuracy	correct_response	duration	onset	participant_response	response_time	trial_type
0	1	2.016	11.0	2.0	0.708	Shapes
1	2	2.017	14.016	2.0	1.303	Shapes
1	1	2.016	17.033	1.0	0.773	Shapes
1	2	2.017	20.049	2.0	0.821	Shapes
1	2	2.017	23.066	2.0	0.747	Shapes
1	1	2.016	26.083	1.0	0.812	Shapes
1	1	2.017	32.099	1.0	0.677	Faces
1	1	2.016	35.116	1.0	0.685	Faces
1	2	2.017	38.132	2.0	0.659	Faces
1	2	2.017	41.149	2.0	1.066	Faces
1	2	2.016	44.166	2.0	0.677	Faces
1	2	2.017	47.182	2.0	0.653	Shapes
1	2	2.017	53.199	2.0	0.556	Shapes
1	2	2.016	56.216	2.0	0.502	Shapes
1	1	2.017	59.232	1.0	0.64	Shapes
1	1	2.016	62.249	1.0	0.638	Shapes
1	1	2.017	65.265	1.0	0.603	Shapes
1	2	2.017	68.282	2.0	0.484	Shapes
1	2	2.017	74.365	2.0	0.589	Faces
1	1	2.033	77.449	1.0	0.679	Faces
0	1	2.017	80.532	2.0	0.657	Faces
1	1	2.016	83.549	1.0	0.938	Faces
1	2	2.016	86.632	2.0	0.826	Faces
1	1	2.017	89.698	1.0	0.632	Shapes
1	2	2.017	95.715	2.0	0.614	Shapes
1	1	2.016	98.732	1.0	0.586	Shapes
1	2	2.017	101.748	2.0	0.628	Shapes
1	2	2.017	104.765	2.0	0.5	Shapes
1	1	2.017	107.781	1.0	0.572	Shapes
1	1	2.017	110.798	1.0	0.651	Shapes
1	2	2.016	116.815	2.0	0.852	Faces
1	1	2.033	119.848	1.0	0.587	Faces
1	2	2.016	122.865	2.0	0.58	Faces
1	2	2.017	125.881	2.0	0.615	Faces
1	2	2.016	128.898	2.0	0.54	Faces
1	1	2.017	131.914	1.0	0.513	Shapes
1	1	2.017	145.931	1.0	0.552	Shapes
1	2	2.016	148.948	2.0	0.72	Shapes
1	2	2.017	151.964	2.0	0.536	Shapes
1	1	2.016	154.981	1.0	0.692	Shapes
1	2	2.017	157.997	2.0	0.647	Shapes
1	1	2.017	161.014	1.0	0.733	Shapes
1	1	2.016	167.031	1.0	0.69	Faces
1	2	2.017	170.047	2.0	0.533	Faces
1	2	2.017	173.064	2.0	0.607	Faces
1	1	2.016	176.081	1.0	0.639	Faces
1	2	2.017	179.097	2.0	0.707	Faces
1	1	2.016	182.114	1.0	0.584	Shapes
1	1	2.017	188.13	1.0	0.659	Shapes
1	1	2.017	191.147	1.0	0.567	Shapes
1	2	2.016	194.164	2.0	0.9	Shapes
1	2	2.017	197.18	2.0	0.598	Shapes
1	1	2.016	200.197	1.0	0.604	Shapes
1	2	2.017	203.213	2.0	0.675	Shapes
1	1	2.017	209.23	1.0	0.49	Faces
1	2	2.016	212.247	2.0	0.581	Faces
1	2	2.017	215.263	2.0	0.88	Faces
1	1	2.017	218.28	1.0	0.627	Faces
1	2	2.016	221.297	2.0	0.58	Faces
1	2	2.017	224.313	2.0	0.58	Shapes
1	1	2.016	230.33	1.0	0.877	Shapes
1	1	2.017	233.346	1.0	0.907	Shapes
1	2	2.017	236.363	2.0	0.642	Shapes
1	2	2.016	239.38	2.0	0.531	Shapes
1	1	2.017	242.396	1.0	0.67	Shapes
0	2	2.017	245.413	1.0	0.624	Shapes
1	1	2.017	251.429	1.0	1.208	Faces
1	2	2.017	254.446	2.0	0.753	Faces
1	1	2.016	257.463	1.0	0.7	Faces
1	1	2.017	260.479	1.0	0.544	Faces
1	1	2.017	263.496	1.0	0.772	Faces
1	2	2.016	266.513	2.0	0.714	Faces
