accuracy	correct_response	duration	onset	participant_response	response_time	trial_type
0	3	2.023	11.0	4.0	1.351	Shapes
1	4	2.025	14.015	4.0	0.982	Shapes
1	3	2.025	17.032	3.0	1.427	Shapes
1	4	2.022	20.035	4.0	1.242	Shapes
1	4	2.024	23.049	4.0	1.373	Shapes
1	3	2.021	26.052	3.0	1.586	Shapes
1	3	2.025	32.065	3.0	1.664	Faces
1	3	2.025	35.082	3.0	1.321	Faces
0	4	2.024	38.099	n/a	0.0	Faces
1	4	2.024	41.116	4.0	1.821	Faces
1	4	2.025	44.132	4.0	1.31	Faces
1	4	2.024	47.149	4.0	1.11	Shapes
1	4	2.021	53.152	4.0	1.629	Shapes
1	4	2.024	56.166	4.0	1.073	Shapes
1	3	2.021	59.169	3.0	1.184	Shapes
1	3	2.025	62.182	3.0	1.208	Shapes
1	3	2.022	65.185	3.0	1.715	Shapes
1	4	2.025	68.199	4.0	1.361	Shapes
1	4	2.024	74.216	4.0	1.563	Faces
1	3	2.025	77.232	3.0	1.512	Faces
1	3	2.025	80.249	3.0	1.508	Faces
1	3	2.024	83.266	3.0	1.502	Faces
1	4	2.024	86.283	4.0	1.453	Faces
1	3	2.025	89.299	3.0	1.141	Shapes
1	4	2.022	95.302	4.0	1.065	Shapes
1	3	2.024	98.316	3.0	1.057	Shapes
1	4	2.021	101.319	4.0	1.534	Shapes
1	4	2.024	104.333	4.0	1.779	Shapes
1	3	2.021	107.336	3.0	1.134	Shapes
1	3	2.025	110.349	3.0	1.317	Shapes
0	4	2.025	116.366	n/a	0.0	Faces
1	3	2.024	119.383	3.0	1.03	Faces
1	4	2.025	122.399	4.0	1.334	Faces
1	4	2.025	125.416	4.0	1.307	Faces
1	4	2.024	128.433	4.0	1.368	Faces
1	3	2.025	131.449	3.0	1.196	Shapes
1	3	2.022	145.452	3.0	1.134	Shapes
1	4	2.025	148.466	4.0	1.137	Shapes
1	4	2.022	151.469	4.0	1.452	Shapes
1	3	2.025	154.483	3.0	1.202	Shapes
1	4	2.022	157.486	4.0	0.982	Shapes
1	3	2.024	160.5	3.0	0.98	Shapes
1	3	2.025	166.516	3.0	1.037	Faces
1	4	2.025	169.533	4.0	1.117	Faces
1	4	2.024	172.55	4.0	0.941	Faces
1	3	2.025	175.566	3.0	0.799	Faces
1	4	2.025	178.583	4.0	1.525	Faces
1	3	2.024	181.6	3.0	1.225	Shapes
1	3	2.021	187.603	3.0	1.414	Shapes
1	3	2.024	190.617	3.0	0.965	Shapes
1	4	2.025	193.633	4.0	1.422	Shapes
1	4	2.022	196.636	4.0	0.897	Shapes
1	3	2.025	199.65	3.0	1.043	Shapes
1	4	2.022	202.653	4.0	1.499	Shapes
1	3	2.024	208.667	3.0	0.947	Faces
1	4	2.025	211.683	4.0	1.0	Faces
0	4	2.025	214.7	3.0	1.235	Faces
1	3	2.024	217.717	3.0	1.076	Faces
1	4	2.025	220.733	4.0	1.179	Faces
1	4	2.025	223.75	4.0	1.356	Shapes
1	3	2.022	229.753	3.0	1.359	Shapes
1	3	2.024	232.767	3.0	0.973	Shapes
1	4	2.021	235.77	4.0	1.176	Shapes
1	4	2.024	238.784	4.0	0.817	Shapes
1	3	2.025	241.8	3.0	0.853	Shapes
1	4	2.022	244.803	4.0	0.962	Shapes
1	3	2.025	250.817	3.0	1.348	Faces
1	4	2.024	253.834	4.0	1.072	Faces
1	3	2.025	256.85	3.0	1.309	Faces
1	3	2.025	259.867	3.0	0.887	Faces
1	3	2.024	262.884	3.0	1.167	Faces
1	4	2.024	265.901	4.0	1.757	Faces
