accuracy	correct_response	duration	onset	participant_response	response_time	trial_type
0	3	2.025	11.0	n/a	0.0	Shapes
1	4	2.022	14.003	4.0	1.132	Shapes
1	3	2.024	17.017	3.0	1.442	Shapes
1	4	2.021	20.02	4.0	1.745	Shapes
1	4	2.024	23.034	4.0	1.175	Shapes
1	3	2.025	26.05	3.0	1.187	Shapes
1	3	2.025	32.067	3.0	1.451	Faces
1	3	2.024	35.084	3.0	1.248	Faces
1	4	2.025	38.1	4.0	1.338	Faces
1	4	2.025	41.117	4.0	1.216	Faces
1	4	2.024	44.134	4.0	1.52	Faces
1	4	2.024	47.151	4.0	1.107	Shapes
1	4	2.025	53.167	4.0	0.964	Shapes
1	4	2.022	56.17	4.0	0.902	Shapes
1	3	2.024	59.184	3.0	0.926	Shapes
1	3	2.021	62.187	3.0	1.034	Shapes
1	3	2.024	65.201	3.0	1.102	Shapes
1	4	2.025	68.217	4.0	1.006	Shapes
1	4	2.025	74.234	4.0	1.062	Faces
1	3	2.024	77.251	3.0	0.976	Faces
1	3	2.025	80.267	3.0	1.275	Faces
1	3	2.025	83.284	3.0	1.404	Faces
1	4	2.024	86.301	4.0	1.3	Faces
1	3	2.024	89.318	3.0	0.868	Shapes
1	4	2.025	95.334	4.0	1.001	Shapes
1	3	2.022	98.337	3.0	0.914	Shapes
1	4	2.024	101.351	4.0	0.837	Shapes
1	4	2.021	104.354	4.0	1.154	Shapes
1	3	2.024	107.368	3.0	0.836	Shapes
1	3	2.025	110.384	3.0	1.076	Shapes
1	4	2.024	116.401	4.0	1.319	Faces
1	3	2.024	119.418	3.0	0.958	Faces
1	4	2.025	122.434	4.0	1.162	Faces
1	4	2.025	125.451	4.0	1.483	Faces
1	4	2.024	128.468	4.0	1.0	Faces
1	3	2.025	131.484	3.0	0.933	Shapes
1	3	2.022	145.487	3.0	1.342	Shapes
1	4	2.025	148.501	4.0	0.892	Shapes
1	4	2.022	151.504	4.0	0.961	Shapes
1	3	2.024	154.518	3.0	0.86	Shapes
1	4	2.021	157.521	4.0	0.858	Shapes
1	3	2.024	160.535	3.0	0.845	Shapes
1	3	2.025	166.551	3.0	1.448	Faces
1	4	2.025	169.568	4.0	1.167	Faces
1	4	2.024	172.585	4.0	0.797	Faces
1	3	2.025	175.601	3.0	0.828	Faces
0	4	2.025	178.618	n/a	0.0	Faces
1	3	2.024	181.635	3.0	1.011	Shapes
1	3	2.021	187.638	3.0	0.913	Shapes
1	3	2.024	190.652	3.0	1.148	Shapes
1	4	2.025	193.668	4.0	0.934	Shapes
1	4	2.022	196.671	4.0	0.96	Shapes
1	3	2.024	199.685	3.0	1.066	Shapes
1	4	2.021	202.688	4.0	1.126	Shapes
1	3	2.024	208.702	3.0	0.876	Faces
1	4	2.025	211.718	4.0	1.246	Faces
1	4	2.025	214.735	4.0	1.811	Faces
1	3	2.024	217.752	3.0	0.844	Faces
1	4	2.025	220.768	4.0	1.137	Faces
1	4	2.025	223.785	4.0	0.926	Shapes
1	3	2.022	229.788	3.0	0.96	Shapes
1	3	2.024	232.802	3.0	0.975	Shapes
1	4	2.021	235.805	4.0	1.586	Shapes
1	4	2.024	238.819	4.0	0.828	Shapes
1	3	2.025	241.835	3.0	0.921	Shapes
1	4	2.022	244.838	4.0	0.92	Shapes
1	3	2.024	250.852	3.0	1.316	Faces
1	4	2.024	253.869	4.0	1.018	Faces
1	3	2.025	256.885	3.0	0.979	Faces
1	3	2.024	259.902	3.0	0.75	Faces
1	3	2.024	262.919	3.0	0.842	Faces
1	4	2.025	265.935	4.0	1.126	Faces
