accuracy	correct_response	duration	onset	participant_response	response_time	trial_type
1	4	2.05	10.998	4.0	1.275	Shapes
1	3	2.05	14.014	3.0	1.964	Shapes
1	4	2.049	17.031	4.0	1.024	Shapes
1	3	2.05	20.047	3.0	0.76	Shapes
1	3	2.05	23.063	3.0	1.146	Shapes
1	4	2.049	26.08	4.0	0.924	Shapes
1	4	2.05	32.112	4.0	1.331	Faces
1	4	2.05	35.128	4.0	1.102	Faces
0	3	2.049	38.145	n/a	0.0	Faces
1	3	2.05	41.161	3.0	1.372	Faces
1	3	2.05	44.177	3.0	1.136	Faces
1	3	2.049	47.194	3.0	1.083	Shapes
1	3	2.05	53.209	3.0	0.746	Shapes
1	3	2.049	56.226	3.0	0.762	Shapes
1	4	2.05	59.242	4.0	1.373	Shapes
1	4	2.05	62.258	4.0	0.89	Shapes
1	4	2.049	65.275	4.0	1.095	Shapes
1	3	2.05	68.291	3.0	1.006	Shapes
1	3	2.049	74.307	3.0	0.853	Faces
1	4	2.05	77.323	4.0	1.309	Faces
1	4	2.049	80.34	4.0	0.976	Faces
1	4	2.049	83.356	4.0	1.022	Faces
1	3	2.05	86.372	3.0	0.948	Faces
1	4	2.05	89.388	4.0	0.869	Shapes
1	3	2.05	95.404	3.0	0.678	Shapes
1	4	2.05	98.42	4.0	0.88	Shapes
1	3	2.049	101.437	3.0	0.693	Shapes
1	3	2.05	104.453	3.0	0.904	Shapes
1	4	2.05	107.469	4.0	1.148	Shapes
1	4	2.049	110.486	4.0	0.997	Shapes
1	3	2.05	116.501	3.0	1.079	Faces
1	4	2.049	119.518	4.0	0.959	Faces
1	3	2.05	122.534	3.0	1.273	Faces
1	3	2.05	125.55	3.0	0.877	Faces
1	3	2.05	128.566	3.0	0.961	Faces
1	4	2.049	131.583	4.0	0.908	Shapes
1	4	2.049	145.598	4.0	0.818	Shapes
1	3	2.05	148.614	3.0	0.703	Shapes
1	3	2.05	151.63	3.0	0.901	Shapes
1	4	2.05	154.646	4.0	0.83	Shapes
1	3	2.049	157.663	3.0	0.666	Shapes
1	4	2.05	160.679	4.0	0.832	Shapes
1	4	2.05	166.695	4.0	0.986	Faces
1	3	2.05	169.711	3.0	0.774	Faces
1	3	2.05	172.727	3.0	0.849	Faces
1	4	2.049	175.744	4.0	0.828	Faces
1	3	2.05	178.76	3.0	1.285	Faces
1	4	2.05	181.776	4.0	0.787	Shapes
1	4	2.05	187.792	4.0	0.9	Shapes
1	4	2.05	190.808	4.0	0.713	Shapes
1	3	2.049	193.825	3.0	0.713	Shapes
0	3	2.05	196.841	4.0	0.815	Shapes
0	4	2.05	199.857	n/a	0.0	Shapes
1	3	2.05	202.873	3.0	0.981	Shapes
1	4	2.05	208.889	4.0	0.822	Faces
1	3	2.049	211.906	3.0	0.7	Faces
1	3	2.05	214.922	3.0	1.44	Faces
1	4	2.05	217.938	4.0	0.82	Faces
1	3	2.05	220.954	3.0	0.96	Faces
1	3	2.05	223.971	3.0	0.809	Shapes
1	4	2.049	229.987	4.0	0.977	Shapes
1	4	2.05	233.003	4.0	0.777	Shapes
1	3	2.05	236.019	3.0	0.697	Shapes
1	3	2.049	239.036	3.0	0.765	Shapes
1	4	2.05	242.052	4.0	0.873	Shapes
1	3	2.05	245.068	3.0	0.826	Shapes
1	4	2.05	251.084	4.0	0.971	Faces
1	3	2.05	254.1	3.0	0.744	Faces
1	4	2.05	257.116	4.0	0.932	Faces
1	4	2.049	260.133	4.0	0.86	Faces
1	4	2.05	263.149	4.0	1.658	Faces
1	3	2.05	266.165	3.0	0.948	Faces
