accuracy	correct_response	duration	onset	participant_response	response_time	trial_type
0	2	2.134	11.049	3.0	1.46	Shapes
1	3	2.116	14.083	3.0	1.287	Shapes
1	2	2.117	17.132	2.0	1.261	Shapes
1	3	2.117	20.149	3.0	1.008	Shapes
1	3	2.116	23.166	3.0	1.253	Shapes
1	2	2.116	26.199	2.0	0.983	Shapes
1	2	2.116	32.282	2.0	1.387	Faces
1	2	2.117	35.348	2.0	1.691	Faces
0	3	2.116	38.415	n/a	0.0	Faces
1	3	2.116	41.465	3.0	1.918	Faces
1	3	2.117	44.531	3.0	1.639	Faces
1	3	2.116	47.565	3.0	1.128	Shapes
1	3	2.116	53.598	3.0	1.018	Shapes
1	3	2.116	56.631	3.0	0.731	Shapes
0	2	2.117	59.664	3.0	1.07	Shapes
1	2	2.116	62.681	2.0	1.242	Shapes
1	2	2.116	65.714	2.0	0.913	Shapes
1	3	2.117	68.747	3.0	1.095	Shapes
1	3	2.116	74.797	3.0	1.191	Faces
1	2	2.116	77.88	2.0	1.296	Faces
0	2	2.116	80.93	n/a	0.0	Faces
1	2	2.117	83.996	2.0	1.27	Faces
0	3	2.117	87.046	n/a	0.0	Faces
1	2	2.117	90.096	2.0	1.718	Shapes
1	3	2.116	96.113	3.0	1.141	Shapes
1	2	2.116	99.146	2.0	1.554	Shapes
1	3	2.116	102.179	3.0	0.942	Shapes
1	3	2.117	105.212	3.0	1.266	Shapes
1	2	2.116	108.229	2.0	1.289	Shapes
1	2	2.116	111.262	2.0	1.329	Shapes
0	3	2.116	117.295	n/a	0.0	Faces
0	2	2.117	120.328	n/a	0.0	Faces
0	3	2.117	123.361	2.0	1.957	Faces
1	3	2.117	126.394	3.0	1.189	Faces
1	3	2.116	129.428	3.0	1.276	Faces
1	2	2.116	132.461	2.0	1.374	Faces
