accuracy	correct_response	duration	onset	participant_response	response_time	trial_type
1	2	2.134	11.033	2.0	1.416	Shapes
1	3	2.117	14.066	3.0	1.315	Shapes
1	2	2.116	17.1	2.0	0.843	Shapes
1	3	2.116	20.133	3.0	1.199	Shapes
1	3	2.117	23.166	3.0	1.06	Shapes
1	2	2.116	26.183	2.0	0.808	Shapes
1	2	2.117	32.232	2.0	0.813	Faces
1	2	2.117	35.282	2.0	1.499	Faces
1	3	2.117	38.315	3.0	1.452	Faces
1	3	2.117	41.365	3.0	0.886	Faces
1	3	2.116	44.432	3.0	1.014	Faces
1	3	2.117	47.498	3.0	0.891	Shapes
1	3	2.116	53.515	3.0	0.787	Shapes
1	3	2.116	56.548	3.0	0.937	Shapes
1	2	2.117	59.581	2.0	0.951	Shapes
1	2	2.116	62.598	2.0	0.951	Shapes
1	2	2.116	65.631	2.0	0.764	Shapes
1	3	2.117	68.664	3.0	0.814	Shapes
1	3	2.116	74.714	3.0	1.077	Faces
1	2	2.116	77.797	2.0	0.873	Faces
1	2	2.117	80.83	2.0	1.037	Faces
1	2	2.116	83.897	2.0	1.027	Faces
1	3	2.116	86.93	3.0	0.8	Faces
1	2	2.116	89.98	2.0	0.75	Shapes
1	3	2.116	95.997	3.0	0.923	Shapes
1	2	2.117	99.029	2.0	0.854	Shapes
1	3	2.116	102.046	3.0	0.769	Shapes
1	3	2.116	105.079	3.0	0.784	Shapes
1	2	2.117	108.112	2.0	0.745	Shapes
1	2	2.116	111.129	2.0	0.699	Shapes
1	3	2.116	117.162	3.0	1.973	Faces
1	2	2.116	120.195	2.0	0.801	Faces
1	3	2.117	123.228	3.0	0.795	Faces
1	3	2.117	126.261	3.0	0.816	Faces
1	3	2.117	129.294	3.0	0.763	Faces
1	2	2.116	132.328	2.0	0.676	Shapes
1	2	2.117	146.36	2.0	0.677	Shapes
1	3	2.116	149.377	3.0	0.783	Shapes
1	3	2.117	152.41	3.0	0.662	Shapes
1	2	2.116	155.427	2.0	0.683	Shapes
1	3	2.116	158.46	3.0	0.803	Shapes
1	2	2.116	161.493	2.0	0.918	Shapes
1	2	2.117	167.526	2.0	0.907	Faces
1	3	2.117	170.559	3.0	0.688	Faces
1	3	2.117	173.592	3.0	0.745	Faces
1	2	2.116	176.626	2.0	0.918	Faces
1	3	2.116	179.659	3.0	0.703	Faces
1	2	2.116	182.692	2.0	0.933	Shapes
1	2	2.116	188.709	2.0	0.761	Shapes
1	2	2.116	191.742	2.0	1.21	Shapes
1	3	2.116	194.775	3.0	0.687	Shapes
1	3	2.116	197.808	3.0	0.994	Shapes
1	2	2.117	200.841	2.0	0.671	Shapes
1	3	2.116	203.858	3.0	0.636	Shapes
1	2	2.116	209.891	2.0	0.764	Faces
1	3	2.116	212.924	3.0	0.985	Faces
1	3	2.117	215.957	3.0	1.7	Faces
1	2	2.117	218.99	2.0	0.807	Faces
1	3	2.117	222.023	3.0	0.816	Faces
1	3	2.116	225.057	3.0	0.718	Shapes
1	2	2.116	231.09	2.0	0.816	Shapes
1	2	2.116	234.123	2.0	0.994	Shapes
1	3	2.117	237.156	3.0	0.723	Shapes
1	3	2.116	240.173	3.0	1.099	Shapes
1	2	2.116	243.206	2.0	0.679	Shapes
0	3	2.117	246.239	n/a	0.0	Shapes
1	2	2.117	252.272	2.0	1.043	Faces
1	3	2.117	255.305	3.0	0.965	Faces
1	2	2.117	258.338	2.0	0.779	Faces
1	2	2.116	261.372	2.0	0.703	Faces
1	2	2.116	264.405	2.0	0.748	Faces
1	3	2.117	267.438	3.0	0.749	Faces
