accuracy	correct_response	duration	onset	participant_response	response_time	trial_type
0	3	2.024	11.0	n/a	0.0	Shapes
1	4	2.024	14.017	4.0	1.868	Shapes
0	3	2.025	17.033	n/a	0.0	Shapes
1	4	2.024	20.05	4.0	1.275	Shapes
1	4	2.024	23.067	4.0	1.021	Shapes
1	3	2.025	26.083	3.0	0.895	Shapes
1	3	2.024	32.117	3.0	1.877	Faces
1	3	2.022	35.136	3.0	1.345	Faces
0	4	2.024	38.167	3.0	1.91	Faces
1	4	2.025	41.2	4.0	1.629	Faces
1	4	2.025	44.233	4.0	1.261	Faces
1	4	2.022	47.253	4.0	0.918	Shapes
1	4	2.024	53.267	4.0	1.101	Shapes
1	4	2.025	56.283	4.0	0.827	Shapes
1	3	2.021	59.287	3.0	0.876	Shapes
1	3	2.025	62.3	3.0	0.771	Shapes
1	3	2.024	65.317	3.0	1.403	Shapes
1	4	2.024	68.334	4.0	0.805	Shapes
1	4	2.024	74.367	4.0	1.632	Faces
1	3	2.025	77.4	3.0	1.223	Faces
0	3	2.022	80.42	n/a	0.0	Faces
1	3	2.025	83.45	3.0	1.482	Faces
1	4	2.022	86.47	4.0	0.88	Faces
1	3	2.025	89.5	3.0	0.976	Shapes
1	4	2.022	95.503	4.0	0.96	Shapes
1	3	2.025	98.517	3.0	0.865	Shapes
1	4	2.024	101.534	4.0	0.809	Shapes
1	4	2.024	104.551	4.0	1.153	Shapes
1	3	2.025	107.567	3.0	0.949	Shapes
1	3	2.024	110.584	3.0	1.198	Shapes
0	4	2.024	116.601	n/a	0.0	Faces
1	3	2.025	119.617	3.0	1.031	Faces
1	4	2.024	122.634	4.0	1.126	Faces
1	4	2.024	125.651	4.0	1.08	Faces
1	4	2.025	128.667	4.0	0.798	Faces
1	3	2.025	131.684	3.0	0.925	Shapes
1	3	2.022	145.687	3.0	1.005	Shapes
1	4	2.024	148.701	4.0	0.802	Shapes
1	4	2.025	151.717	4.0	0.784	Shapes
1	3	2.021	154.721	3.0	1.163	Shapes
1	4	2.025	157.734	4.0	0.706	Shapes
1	3	2.024	160.751	3.0	0.771	Shapes
1	3	2.024	166.768	3.0	1.533	Faces
1	4	2.025	169.784	4.0	0.886	Faces
1	4	2.025	172.801	4.0	0.696	Faces
1	3	2.024	175.818	3.0	0.958	Faces
1	4	2.025	178.834	4.0	0.739	Faces
1	3	2.025	181.851	3.0	1.689	Shapes
1	3	2.024	187.868	3.0	1.222	Shapes
1	3	2.025	190.884	3.0	0.906	Shapes
1	4	2.021	193.888	4.0	0.804	Shapes
1	4	2.025	196.901	4.0	0.731	Shapes
1	3	2.024	199.918	3.0	0.843	Shapes
1	4	2.024	202.935	4.0	1.139	Shapes
1	3	2.025	208.951	3.0	0.7	Faces
1	4	2.024	211.968	4.0	0.723	Faces
1	4	2.024	214.985	4.0	1.297	Faces
1	3	2.025	218.001	3.0	1.374	Faces
1	4	2.025	221.018	4.0	1.079	Faces
1	4	2.024	224.035	4.0	0.76	Shapes
1	3	2.025	230.051	3.0	1.139	Shapes
1	3	2.021	233.055	3.0	0.777	Shapes
1	4	2.025	236.068	4.0	0.672	Shapes
1	4	2.024	239.085	4.0	0.833	Shapes
1	3	2.025	242.101	3.0	0.818	Shapes
1	4	2.021	245.105	4.0	0.653	Shapes
1	3	2.025	251.118	3.0	1.391	Faces
1	4	2.024	254.135	4.0	0.816	Faces
1	3	2.024	257.152	3.0	1.151	Faces
1	3	2.025	260.168	3.0	0.762	Faces
1	3	2.024	263.185	3.0	0.902	Faces
1	4	2.024	266.202	4.0	0.757	Faces
