accuracy	correct_response	duration	onset	participant_response	response_time	trial_type
1	3	2.024	11.001	3.0	0.987	Shapes
1	4	2.024	14.017	4.0	0.896	Shapes
1	3	2.025	17.033	3.0	0.594	Shapes
0	4	2.022	20.036	3.0	0.751	Shapes
0	4	2.025	23.05	3.0	1.203	Shapes
1	3	2.022	26.053	3.0	0.756	Shapes
1	3	2.024	32.067	3.0	0.846	Faces
1	3	2.024	35.084	3.0	0.841	Faces
0	4	2.025	38.1	3.0	0.965	Faces
1	4	2.024	41.117	4.0	1.516	Faces
1	4	2.024	44.134	4.0	1.082	Faces
1	4	2.025	47.15	4.0	1.0	Shapes
1	4	2.022	53.153	4.0	1.0	Shapes
1	4	2.025	56.167	4.0	0.782	Shapes
1	3	2.022	59.17	3.0	0.963	Shapes
1	3	2.024	62.184	3.0	0.91	Shapes
1	3	2.025	65.2	3.0	1.536	Shapes
1	4	2.022	68.203	4.0	1.228	Shapes
1	4	2.023	74.219	4.0	1.304	Faces
1	3	2.024	77.251	3.0	0.811	Faces
1	3	2.025	80.267	3.0	1.328	Faces
1	3	2.022	83.286	3.0	1.321	Faces
1	4	2.025	86.317	4.0	1.305	Faces
1	3	2.024	89.334	3.0	1.041	Shapes
0	4	2.021	95.337	3.0	1.48	Shapes
0	3	2.024	98.351	4.0	0.93	Shapes
1	4	2.025	101.367	4.0	1.344	Shapes
1	4	2.022	104.37	4.0	1.399	Shapes
1	3	2.025	107.384	3.0	1.182	Shapes
1	3	2.022	110.387	3.0	1.348	Shapes
1	4	2.024	116.401	4.0	1.602	Faces
1	3	2.024	119.418	3.0	0.975	Faces
1	4	2.025	122.434	4.0	1.358	Faces
1	4	2.024	125.451	4.0	1.268	Faces
1	4	2.024	128.468	4.0	1.139	Faces
1	3	2.025	131.484	3.0	1.101	Shapes
0	3	2.022	145.487	4.0	1.363	Shapes
1	4	2.025	148.501	4.0	1.3	Shapes
1	4	2.022	151.504	4.0	1.355	Shapes
1	3	2.024	154.518	3.0	0.957	Shapes
1	4	2.025	157.534	4.0	1.137	Shapes
1	3	2.022	160.537	3.0	1.031	Shapes
1	3	2.025	166.551	3.0	1.722	Faces
0	4	2.024	169.568	n/a	0.0	Faces
1	4	2.024	172.585	4.0	1.03	Faces
1	3	2.025	175.601	3.0	1.058	Faces
1	4	2.024	178.618	4.0	1.258	Faces
1	3	2.024	181.635	3.0	1.078	Shapes
1	3	2.025	187.651	3.0	1.211	Shapes
1	3	2.024	190.668	3.0	1.101	Shapes
1	4	2.022	193.671	4.0	1.085	Shapes
1	4	2.024	196.685	4.0	1.026	Shapes
1	3	2.025	199.701	3.0	1.509	Shapes
0	4	2.022	202.704	3.0	1.609	Shapes
1	3	2.025	208.718	3.0	1.107	Faces
1	4	2.024	211.735	4.0	0.91	Faces
1	4	2.025	214.751	4.0	1.217	Faces
1	3	2.025	217.768	3.0	1.017	Faces
1	4	2.024	220.785	4.0	1.374	Faces
1	4	2.024	223.802	4.0	0.968	Shapes
1	3	2.025	229.818	3.0	1.53	Shapes
1	3	2.022	232.821	3.0	1.195	Shapes
1	4	2.024	235.835	4.0	0.997	Shapes
1	4	2.021	238.838	4.0	1.274	Shapes
1	3	2.024	241.852	3.0	1.334	Shapes
1	4	2.025	244.868	4.0	1.262	Shapes
1	3	2.025	250.885	3.0	1.4	Faces
1	4	2.024	253.902	4.0	1.201	Faces
1	3	2.025	256.918	3.0	1.479	Faces
1	3	2.025	259.935	3.0	0.956	Faces
1	3	2.024	262.952	3.0	0.858	Faces
1	4	2.024	265.969	4.0	1.045	Faces
