accuracy	correct_response	duration	onset	participant_response	response_time	trial_type
1	1	2.016	11.0	1.0	1.763	Shapes
0	2	2.017	14.016	n/a	0.0	Shapes
1	1	2.017	17.033	1.0	1.519	Shapes
1	2	2.016	20.05	2.0	0.906	Shapes
1	2	2.017	23.066	2.0	1.443	Shapes
1	1	2.017	26.083	1.0	0.838	Shapes
1	1	2.016	32.1	1.0	1.219	Faces
1	1	2.017	35.116	1.0	1.256	Faces
0	2	2.016	38.133	n/a	0.0	Faces
0	2	2.017	41.149	1.0	1.62	Faces
1	2	2.017	44.166	2.0	1.273	Faces
1	2	2.017	47.183	2.0	1.064	Shapes
1	2	2.017	53.199	2.0	1.602	Shapes
1	2	2.017	56.216	2.0	0.875	Shapes
1	1	2.016	59.233	1.0	0.793	Shapes
1	1	2.017	62.249	1.0	0.746	Shapes
1	1	2.017	65.266	1.0	1.522	Shapes
1	2	2.016	68.283	2.0	1.135	Shapes
1	2	2.017	74.299	2.0	0.908	Faces
1	1	2.017	77.316	1.0	0.868	Faces
1	1	2.016	80.333	1.0	1.008	Faces
1	1	2.017	83.349	1.0	0.693	Faces
1	2	2.017	86.366	2.0	1.236	Faces
1	1	2.016	89.383	1.0	0.764	Shapes
1	2	2.017	95.399	2.0	0.651	Shapes
1	1	2.017	98.416	1.0	0.68	Shapes
1	2	2.017	101.432	2.0	0.703	Shapes
1	2	2.017	104.449	2.0	0.692	Shapes
1	1	2.016	107.466	1.0	0.881	Shapes
1	1	2.017	110.482	1.0	0.75	Shapes
0	2	2.017	116.499	n/a	0.0	Faces
1	1	2.016	119.516	1.0	1.265	Faces
1	2	2.017	122.532	2.0	1.625	Faces
1	2	2.017	125.549	2.0	1.03	Faces
1	2	2.016	128.566	2.0	0.893	Faces
1	1	2.017	131.582	1.0	0.739	Shapes
1	1	2.016	145.599	1.0	0.76	Shapes
1	2	2.017	148.615	2.0	0.775	Shapes
1	2	2.017	151.632	2.0	0.67	Shapes
1	1	2.016	154.649	1.0	0.767	Shapes
1	2	2.017	157.665	2.0	0.76	Shapes
1	1	2.017	160.682	1.0	0.816	Shapes
1	1	2.016	166.699	1.0	0.927	Faces
1	2	2.017	169.715	2.0	0.679	Faces
1	2	2.017	172.732	2.0	0.783	Faces
1	1	2.016	175.749	1.0	0.717	Faces
1	2	2.017	178.765	2.0	0.778	Faces
1	1	2.017	181.782	1.0	0.77	Shapes
1	1	2.016	187.799	1.0	1.157	Shapes
1	1	2.017	190.815	1.0	0.809	Shapes
1	2	2.016	193.832	2.0	0.789	Shapes
1	2	2.017	196.848	2.0	0.626	Shapes
1	1	2.017	199.865	1.0	0.677	Shapes
1	2	2.016	202.882	2.0	0.633	Shapes
1	1	2.017	208.898	1.0	0.762	Faces
1	2	2.033	211.915	2.0	0.814	Faces
0	2	2.016	214.932	1.0	1.395	Faces
1	1	2.017	217.948	1.0	1.31	Faces
1	2	2.017	220.965	2.0	1.806	Faces
1	2	2.016	223.982	2.0	0.763	Shapes
1	1	2.034	229.998	1.0	0.93	Shapes
1	1	2.017	233.015	1.0	0.754	Shapes
1	2	2.016	236.032	2.0	0.75	Shapes
1	2	2.017	239.048	2.0	0.572	Shapes
1	1	2.017	242.065	1.0	0.707	Shapes
1	2	2.016	245.082	2.0	0.757	Shapes
1	1	2.017	251.098	1.0	1.017	Faces
1	2	2.016	254.115	2.0	0.857	Faces
1	1	2.017	257.131	1.0	0.738	Faces
1	1	2.017	260.148	1.0	0.703	Faces
1	1	2.016	263.165	1.0	1.039	Faces
1	2	2.017	266.181	2.0	1.069	Faces
