accuracy	correct_response	duration	onset	participant_response	response_time	trial_type
1	1	2.017	11.0	1.0	1.8	Shapes
1	2	2.016	14.017	2.0	1.011	Shapes
1	1	2.017	17.033	1.0	1.738	Shapes
1	2	2.017	20.05	2.0	1.039	Shapes
1	2	2.016	23.067	2.0	1.344	Shapes
0	1	2.017	26.083	2.0	0.741	Shapes
1	1	2.017	32.166	1.0	1.081	Faces
1	1	2.016	35.25	1.0	1.257	Faces
1	2	2.017	38.316	2.0	1.774	Faces
1	2	2.017	41.433	2.0	1.152	Faces
1	2	2.017	44.533	2.0	0.989	Faces
1	2	2.016	47.55	2.0	0.929	Shapes
1	2	2.017	53.566	2.0	1.044	Shapes
1	2	2.016	56.583	2.0	0.961	Shapes
1	1	2.017	59.599	1.0	1.306	Shapes
1	1	2.017	62.616	1.0	1.285	Shapes
0	1	2.016	65.633	2.0	1.027	Shapes
1	2	2.017	68.649	2.0	1.106	Shapes
1	2	2.017	74.716	2.0	1.096	Faces
1	1	2.017	77.799	1.0	0.89	Faces
1	1	2.016	80.866	1.0	1.048	Faces
1	1	2.017	83.882	1.0	1.528	Faces
1	2	2.017	86.949	2.0	0.93	Faces
1	1	2.016	89.966	1.0	0.937	Shapes
1	2	2.017	95.982	2.0	0.791	Shapes
1	1	2.017	98.999	1.0	0.991	Shapes
1	2	2.017	102.015	2.0	0.784	Shapes
1	2	2.017	105.032	2.0	0.685	Shapes
1	1	2.016	108.049	1.0	0.885	Shapes
1	1	2.017	111.065	1.0	1.218	Shapes
0	2	2.017	117.082	n/a	0.0	Faces
0	1	2.016	120.099	2.0	1.454	Faces
1	2	2.017	123.115	2.0	1.213	Faces
1	2	2.016	126.132	2.0	1.099	Faces
1	2	2.017	129.148	2.0	1.031	Faces
1	1	2.017	132.165	1.0	0.904	Shapes
1	1	2.016	146.182	1.0	1.206	Shapes
1	2	2.017	149.198	2.0	0.928	Shapes
1	2	2.016	152.215	2.0	0.832	Shapes
1	1	2.017	155.231	1.0	1.191	Shapes
1	2	2.017	158.248	2.0	0.808	Shapes
1	1	2.016	161.265	1.0	0.958	Shapes
1	1	2.017	167.281	1.0	0.783	Faces
1	2	2.017	170.298	2.0	0.654	Faces
1	2	2.017	173.314	2.0	0.719	Faces
1	1	2.017	176.331	1.0	0.634	Faces
1	2	2.016	179.348	2.0	1.3	Faces
1	1	2.017	182.364	1.0	0.816	Shapes
1	1	2.017	188.381	1.0	1.066	Shapes
1	1	2.016	191.398	1.0	0.792	Shapes
1	2	2.017	194.414	2.0	0.709	Shapes
0	2	2.016	197.431	1.0	1.128	Shapes
0	1	2.017	200.447	2.0	1.095	Shapes
1	2	2.017	203.464	2.0	1.41	Shapes
1	1	2.016	209.481	1.0	1.005	Faces
1	2	2.017	212.497	2.0	0.733	Faces
1	2	2.017	215.514	2.0	1.583	Faces
0	1	2.016	218.531	n/a	0.0	Faces
1	2	2.017	221.547	2.0	1.088	Faces
1	2	2.016	224.564	2.0	0.825	Shapes
1	1	2.017	230.58	1.0	1.157	Shapes
1	1	2.017	233.597	1.0	0.845	Shapes
1	2	2.016	236.614	2.0	0.828	Shapes
1	2	2.017	239.63	2.0	0.734	Shapes
1	1	2.016	242.647	1.0	1.057	Shapes
1	2	2.017	245.663	2.0	0.829	Shapes
1	1	2.017	251.68	1.0	0.809	Faces
1	2	2.016	254.697	2.0	0.974	Faces
1	1	2.017	257.713	1.0	1.068	Faces
1	1	2.017	260.73	1.0	0.986	Faces
1	1	2.016	263.747	1.0	0.624	Faces
1	2	2.017	266.763	2.0	0.901	Faces
