accuracy	correct_response	duration	onset	participant_response	response_time	trial_type
1	2	2.133	11.0	2.0	1.233	Shapes
0	3	2.117	14.033	n/a	0.0	Shapes
1	2	2.117	17.05	2.0	1.216	Shapes
1	3	2.117	20.083	3.0	0.828	Shapes
1	3	2.116	23.1	3.0	1.2	Shapes
1	2	2.116	26.133	2.0	0.994	Shapes
1	2	2.116	32.166	2.0	1.141	Faces
1	2	2.117	35.199	2.0	1.281	Faces
0	3	2.117	38.232	n/a	0.0	Faces
0	3	2.117	41.265	n/a	0.0	Faces
1	3	2.116	44.299	3.0	1.414	Faces
1	3	2.116	47.332	3.0	1.025	Shapes
1	3	2.116	53.349	3.0	1.458	Shapes
1	3	2.117	56.381	3.0	0.829	Shapes
1	2	2.117	59.398	2.0	1.378	Shapes
1	2	2.116	62.415	2.0	0.867	Shapes
1	2	2.116	65.448	2.0	1.052	Shapes
1	3	2.116	68.481	3.0	1.017	Shapes
1	3	2.117	74.514	3.0	1.174	Faces
1	2	2.117	77.547	2.0	1.04	Faces
1	2	2.117	80.58	2.0	1.164	Faces
1	2	2.116	83.614	2.0	1.477	Faces
1	3	2.116	86.647	3.0	1.694	Faces
1	2	2.117	89.68	2.0	0.985	Shapes
1	3	2.116	95.697	3.0	0.723	Shapes
1	2	2.116	98.73	2.0	1.052	Shapes
1	3	2.116	101.763	3.0	1.141	Shapes
1	3	2.117	104.796	3.0	1.115	Shapes
1	2	2.117	107.829	2.0	1.167	Shapes
1	2	2.116	110.846	2.0	0.942	Shapes
0	3	2.116	116.879	2.0	1.596	Faces
1	2	2.117	119.912	2.0	1.82	Faces
1	3	2.117	122.945	3.0	1.357	Faces
1	3	2.117	125.978	3.0	1.381	Faces
1	3	2.116	129.012	3.0	1.356	Faces
1	2	2.116	132.045	2.0	1.05	Shapes
1	2	2.116	146.078	2.0	0.825	Shapes
1	3	2.116	149.111	3.0	0.916	Shapes
1	3	2.116	152.144	3.0	1.425	Shapes
1	2	2.116	155.161	2.0	0.827	Shapes
1	3	2.116	158.194	3.0	1.947	Shapes
1	2	2.116	161.227	2.0	1.166	Shapes
1	2	2.117	167.26	2.0	1.25	Faces
1	3	2.117	170.293	3.0	1.262	Faces
1	3	2.117	173.326	3.0	0.839	Faces
1	2	2.116	176.36	2.0	1.004	Faces
1	3	2.116	179.393	3.0	1.202	Faces
1	2	2.117	182.426	2.0	1.65	Shapes
1	2	2.116	188.443	2.0	1.337	Shapes
1	2	2.116	191.476	2.0	1.232	Shapes
1	3	2.116	194.509	3.0	0.988	Shapes
0	3	2.117	197.542	2.0	0.806	Shapes
1	2	2.116	200.559	2.0	0.96	Shapes
1	3	2.116	203.592	3.0	1.322	Shapes
1	2	2.116	209.625	2.0	0.934	Faces
1	3	2.117	212.658	3.0	1.261	Faces
0	3	2.117	215.691	2.0	1.238	Faces
1	2	2.117	218.724	2.0	1.201	Faces
1	3	2.116	221.758	3.0	1.194	Faces
1	3	2.116	224.791	3.0	0.957	Shapes
1	2	2.116	230.808	2.0	1.425	Shapes
1	2	2.117	233.84	2.0	1.085	Shapes
1	3	2.116	236.857	3.0	0.804	Shapes
1	3	2.117	239.89	3.0	1.275	Shapes
1	2	2.116	242.907	2.0	0.948	Shapes
1	3	2.116	245.94	3.0	1.389	Shapes
1	2	2.117	251.973	2.0	1.773	Faces
1	3	2.117	255.006	3.0	1.269	Faces
1	2	2.117	258.039	2.0	1.349	Faces
1	2	2.116	261.073	2.0	0.854	Faces
1	2	2.116	264.106	2.0	1.073	Faces
1	3	2.116	267.139	3.0	1.26	Faces
