accuracy	correct_response	duration	onset	participant_response	response_time	trial_type
1	2	2.133	11.05	2.0	1.21	Shapes
1	3	2.133	14.083	3.0	1.128	Shapes
1	2	2.134	17.133	2.0	1.255	Shapes
1	3	2.132	20.151	3.0	0.869	Shapes
1	3	2.117	23.183	3.0	0.885	Shapes
1	2	2.132	26.201	2.0	0.907	Shapes
1	2	2.117	32.283	2.0	1.022	Faces
1	2	2.133	35.367	2.0	0.87	Faces
1	3	2.117	38.417	3.0	1.77	Faces
1	3	2.133	41.467	3.0	1.454	Faces
1	3	2.133	44.534	3.0	1.198	Faces
1	3	2.133	47.584	3.0	0.96	Shapes
1	3	2.133	53.601	3.0	0.836	Shapes
1	3	2.133	56.634	3.0	0.704	Shapes
1	2	2.117	59.651	2.0	0.876	Shapes
1	2	2.117	62.684	2.0	0.81	Shapes
1	2	2.118	65.717	2.0	0.972	Shapes
1	3	2.118	68.734	3.0	1.357	Shapes
1	3	2.117	74.801	3.0	0.78	Faces
1	2	2.133	77.868	2.0	1.282	Faces
1	2	2.117	80.934	2.0	1.215	Faces
1	2	2.133	84.018	2.0	1.032	Faces
1	3	2.133	87.085	3.0	0.802	Faces
1	2	2.134	90.151	2.0	0.804	Shapes
1	3	2.117	96.168	3.0	0.778	Shapes
1	2	2.117	99.201	2.0	0.879	Shapes
1	3	2.133	102.219	3.0	0.644	Shapes
1	3	2.133	105.252	3.0	0.79	Shapes
1	2	2.133	108.285	2.0	0.813	Shapes
1	2	2.133	111.302	2.0	0.977	Shapes
1	3	2.117	117.335	3.0	1.035	Faces
1	2	2.133	120.369	2.0	0.873	Faces
1	3	2.133	123.402	3.0	0.822	Faces
1	3	2.117	126.435	3.0	0.963	Faces
1	3	2.117	129.469	3.0	0.712	Faces
1	2	2.117	132.502	2.0	0.738	Shapes
1	2	2.133	146.519	2.0	0.747	Shapes
1	3	2.118	149.552	3.0	0.91	Shapes
1	3	2.133	152.57	3.0	1.3	Shapes
1	2	2.133	155.603	2.0	0.763	Shapes
1	3	2.117	158.636	3.0	0.753	Shapes
1	2	2.133	161.653	2.0	0.786	Shapes
1	2	2.134	167.686	2.0	0.856	Faces
1	3	2.133	170.72	3.0	0.743	Faces
1	3	2.133	173.753	3.0	0.866	Faces
1	2	2.117	176.786	2.0	0.895	Faces
1	3	2.117	179.82	3.0	1.181	Faces
1	2	2.117	182.853	2.0	1.077	Shapes
1	2	2.133	188.87	2.0	0.796	Shapes
0	2	2.117	191.903	n/a	0.0	Shapes
1	3	2.117	194.92	3.0	0.953	Shapes
1	3	2.117	197.937	3.0	0.844	Shapes
1	2	2.117	200.97	2.0	0.783	Shapes
1	3	2.117	204.004	3.0	0.698	Shapes
1	2	2.133	210.037	2.0	0.809	Faces
1	3	2.134	213.07	3.0	0.791	Faces
1	3	2.133	216.104	3.0	1.743	Faces
1	2	2.117	219.137	2.0	0.789	Faces
1	3	2.133	222.171	3.0	0.8	Faces
1	3	2.117	225.204	3.0	0.786	Shapes
1	2	2.133	231.221	2.0	0.926	Shapes
1	2	2.117	234.254	2.0	1.154	Shapes
1	3	2.132	237.272	3.0	0.98	Shapes
1	3	2.117	240.304	3.0	0.843	Shapes
1	2	2.132	243.322	2.0	0.804	Shapes
1	3	2.117	246.354	3.0	0.75	Shapes
1	2	2.133	252.388	2.0	1.005	Faces
1	3	2.134	255.421	3.0	0.82	Faces
1	2	2.133	258.455	2.0	0.806	Faces
1	2	2.117	261.488	2.0	0.823	Faces
1	2	2.117	264.521	2.0	0.979	Faces
1	3	2.133	267.555	3.0	0.86	Faces
