accuracy	correct_response	duration	onset	participant_response	response_time	trial_type
0	2	2.133	11.033	n/a	0.0	Shapes
1	3	2.117	14.066	3.0	1.333	Shapes
1	2	2.117	17.1	2.0	1.752	Shapes
1	3	2.116	20.133	3.0	0.837	Shapes
1	3	2.117	23.166	3.0	1.129	Shapes
1	2	2.116	26.183	2.0	1.627	Shapes
1	2	2.116	32.266	2.0	1.789	Faces
1	2	2.117	35.332	2.0	1.522	Faces
1	3	2.116	38.366	3.0	1.937	Faces
1	3	2.117	41.415	3.0	1.86	Faces
1	3	2.117	44.465	3.0	1.036	Faces
1	3	2.117	47.515	3.0	1.69	Shapes
1	3	2.116	53.532	3.0	1.317	Shapes
1	3	2.116	56.565	3.0	0.732	Shapes
1	2	2.116	59.598	2.0	0.855	Shapes
1	2	2.117	62.631	2.0	1.48	Shapes
0	2	2.117	65.664	n/a	0.0	Shapes
1	3	2.116	68.681	3.0	1.645	Shapes
1	3	2.116	74.731	3.0	1.678	Faces
1	2	2.116	77.814	2.0	1.445	Faces
0	2	2.116	80.864	n/a	0.0	Faces
1	2	2.117	83.93	2.0	1.585	Faces
1	3	2.117	86.98	3.0	1.179	Faces
1	2	2.116	90.03	2.0	0.799	Shapes
1	3	2.116	96.047	3.0	0.942	Shapes
1	2	2.117	99.079	2.0	1.065	Shapes
1	3	2.117	102.096	3.0	0.759	Shapes
1	3	2.116	105.113	3.0	0.817	Shapes
0	2	2.116	108.146	3.0	0.752	Shapes
1	2	2.117	111.179	2.0	1.29	Shapes
1	3	2.117	117.212	3.0	1.567	Faces
1	2	2.117	120.245	2.0	1.186	Faces
1	3	2.117	123.278	3.0	0.855	Faces
0	3	2.116	126.312	2.0	0.972	Faces
1	3	2.116	129.345	3.0	0.978	Faces
1	2	2.117	132.378	2.0	0.985	Shapes
1	2	2.116	146.395	2.0	0.654	Shapes
1	3	2.117	149.427	3.0	1.127	Shapes
1	3	2.116	152.444	3.0	1.048	Shapes
1	2	2.117	155.477	2.0	1.579	Shapes
1	3	2.116	158.494	3.0	1.984	Shapes
1	2	2.116	161.527	2.0	1.668	Shapes
1	2	2.116	167.56	2.0	1.633	Faces
1	3	2.117	170.593	3.0	1.09	Faces
1	3	2.117	173.626	3.0	1.15	Faces
1	2	2.117	176.659	2.0	1.08	Faces
1	3	2.116	179.693	3.0	1.336	Faces
1	2	2.116	182.726	2.0	1.165	Shapes
1	2	2.116	188.743	2.0	1.26	Shapes
1	2	2.117	191.775	2.0	1.227	Shapes
1	3	2.117	194.792	3.0	1.649	Shapes
0	3	2.116	197.809	n/a	0.0	Shapes
0	2	2.116	200.842	n/a	0.0	Shapes
1	3	2.117	203.875	3.0	0.984	Shapes
1	2	2.117	209.908	2.0	1.112	Faces
1	3	2.117	212.941	3.0	0.91	Faces
1	3	2.116	215.975	3.0	1.728	Faces
1	2	2.116	219.008	2.0	1.241	Faces
1	3	2.116	222.041	3.0	0.815	Faces
1	3	2.117	225.074	3.0	0.836	Shapes
1	2	2.116	231.091	2.0	1.333	Shapes
1	2	2.116	234.124	2.0	0.588	Shapes
1	3	2.116	237.157	3.0	0.819	Shapes
1	3	2.117	240.19	3.0	0.772	Shapes
1	2	2.116	243.207	2.0	1.454	Shapes
1	3	2.116	246.24	3.0	1.862	Shapes
1	2	2.116	252.273	2.0	1.306	Faces
1	3	2.117	255.306	3.0	0.789	Faces
1	2	2.117	258.339	2.0	1.485	Faces
1	2	2.116	261.373	2.0	0.885	Faces
1	2	2.116	264.406	2.0	1.611	Faces
1	3	2.117	267.439	3.0	1.163	Faces
