accuracy	correct_response	duration	onset	participant_response	response_time	trial_type
0	2	2.133	10.983	3.0	1.078	Shapes
1	3	2.117	14.016	3.0	1.383	Shapes
1	2	2.117	17.033	2.0	1.119	Shapes
1	3	2.116	20.05	3.0	0.957	Shapes
1	3	2.116	23.083	3.0	1.112	Shapes
1	2	2.117	26.116	2.0	1.187	Shapes
1	2	2.117	32.149	2.0	1.105	Faces
1	2	2.117	35.182	2.0	1.672	Faces
1	3	2.117	38.215	3.0	1.693	Faces
1	3	2.116	41.249	3.0	1.892	Faces
1	3	2.116	44.282	3.0	1.573	Faces
1	3	2.117	47.315	3.0	1.269	Shapes
1	3	2.116	53.332	3.0	1.129	Shapes
1	3	2.116	56.365	3.0	1.643	Shapes
0	2	2.116	59.398	n/a	0.0	Shapes
1	2	2.117	62.431	2.0	1.01	Shapes
1	2	2.117	65.464	2.0	1.341	Shapes
1	3	2.116	68.481	3.0	1.022	Shapes
1	3	2.116	74.514	3.0	1.195	Faces
1	2	2.117	77.547	2.0	0.766	Faces
1	2	2.117	80.58	2.0	1.386	Faces
1	2	2.116	83.614	2.0	1.872	Faces
1	3	2.116	86.647	3.0	1.421	Faces
1	2	2.116	89.68	2.0	1.379	Shapes
1	3	2.116	95.697	3.0	1.247	Shapes
1	2	2.116	98.73	2.0	1.068	Shapes
1	3	2.116	101.763	3.0	0.843	Shapes
1	3	2.116	104.796	3.0	1.199	Shapes
1	2	2.117	107.829	2.0	1.225	Shapes
1	2	2.116	110.846	2.0	1.032	Shapes
0	3	2.116	116.879	n/a	0.0	Faces
1	2	2.117	119.912	2.0	1.442	Faces
1	3	2.117	122.945	3.0	1.51	Faces
1	3	2.117	125.978	3.0	1.675	Faces
1	3	2.116	129.012	3.0	1.199	Faces
1	2	2.116	132.045	2.0	1.923	Shapes
1	2	2.117	146.077	2.0	1.229	Shapes
1	3	2.117	149.094	3.0	1.006	Shapes
1	3	2.116	152.111	3.0	0.998	Shapes
1	2	2.116	155.144	2.0	0.887	Shapes
1	3	2.117	158.177	3.0	1.036	Shapes
1	2	2.117	161.21	2.0	1.394	Shapes
1	2	2.117	167.243	2.0	1.931	Faces
1	3	2.117	170.276	3.0	1.19	Faces
1	3	2.116	173.31	3.0	1.137	Faces
1	2	2.116	176.343	2.0	1.173	Faces
1	3	2.117	179.376	3.0	1.398	Faces
1	2	2.117	182.409	2.0	1.806	Shapes
1	2	2.116	188.426	2.0	1.403	Shapes
1	2	2.116	191.459	2.0	1.671	Shapes
1	3	2.117	194.492	3.0	1.3	Shapes
1	3	2.116	197.509	3.0	1.434	Shapes
1	2	2.116	200.542	2.0	1.004	Shapes
1	3	2.117	203.575	3.0	1.209	Shapes
1	2	2.117	209.608	2.0	1.581	Faces
1	3	2.117	212.641	3.0	1.401	Faces
0	3	2.116	215.675	n/a	0.0	Faces
1	2	2.116	218.708	2.0	1.456	Faces
1	3	2.116	221.741	3.0	1.46	Faces
1	3	2.117	224.774	3.0	1.299	Shapes
1	2	2.116	230.791	2.0	1.248	Shapes
1	2	2.116	233.824	2.0	1.4	Shapes
1	3	2.117	236.857	3.0	1.321	Shapes
1	3	2.117	239.89	3.0	1.505	Shapes
1	2	2.117	242.923	2.0	1.202	Shapes
1	3	2.116	245.94	3.0	1.16	Shapes
0	2	2.117	251.973	n/a	0.0	Faces
1	3	2.117	255.006	3.0	1.331	Faces
1	2	2.117	258.039	2.0	1.77	Faces
1	2	2.116	261.073	2.0	1.144	Faces
1	2	2.116	264.106	2.0	1.291	Faces
1	3	2.117	267.139	3.0	1.356	Faces
