accuracy	correct_response	duration	onset	participant_response	response_time	trial_type
1	2	2.133	11.033	2.0	1.521	Shapes
1	3	2.116	14.066	3.0	1.291	Shapes
1	2	2.116	17.116	2.0	1.262	Shapes
1	3	2.117	20.149	3.0	0.947	Shapes
1	3	2.116	23.166	3.0	1.04	Shapes
1	2	2.116	26.199	2.0	0.82	Shapes
1	2	2.117	32.265	2.0	1.056	Faces
1	2	2.117	35.348	2.0	1.029	Faces
0	3	2.117	38.398	n/a	0.0	Faces
1	3	2.117	41.448	3.0	1.346	Faces
1	3	2.116	44.515	3.0	1.115	Faces
1	3	2.117	47.564	3.0	0.841	Shapes
1	3	2.116	53.581	3.0	0.888	Shapes
1	3	2.117	56.614	3.0	0.794	Shapes
1	2	2.116	59.631	2.0	0.925	Shapes
1	2	2.116	62.664	2.0	0.769	Shapes
1	2	2.117	65.697	2.0	0.786	Shapes
1	3	2.116	68.714	3.0	0.95	Shapes
1	3	2.117	74.763	3.0	1.043	Faces
1	2	2.117	77.846	2.0	0.912	Faces
0	2	2.116	80.88	3.0	1.633	Faces
1	2	2.116	83.93	2.0	0.878	Faces
1	3	2.116	86.963	3.0	1.239	Faces
1	2	2.116	90.013	2.0	0.76	Shapes
1	3	2.116	96.046	3.0	0.843	Shapes
1	2	2.116	99.079	2.0	0.95	Shapes
1	3	2.116	102.096	3.0	0.776	Shapes
1	3	2.116	105.129	3.0	1.007	Shapes
1	2	2.116	108.162	2.0	0.687	Shapes
1	2	2.117	111.195	2.0	0.656	Shapes
1	3	2.117	117.228	3.0	1.958	Faces
1	2	2.117	120.261	2.0	0.863	Faces
1	3	2.116	123.295	3.0	0.796	Faces
1	3	2.116	126.328	3.0	0.972	Faces
1	3	2.117	129.361	3.0	0.764	Faces
1	2	2.117	132.394	2.0	0.742	Shapes
1	2	2.116	146.411	2.0	0.711	Shapes
1	3	2.117	149.443	3.0	0.855	Shapes
1	3	2.117	152.46	3.0	0.827	Shapes
1	2	2.117	155.493	2.0	0.708	Shapes
1	3	2.116	158.51	3.0	0.763	Shapes
1	2	2.116	161.543	2.0	0.814	Shapes
1	2	2.117	167.576	2.0	1.39	Faces
1	3	2.117	170.609	3.0	0.66	Faces
1	3	2.117	173.642	3.0	0.684	Faces
1	2	2.116	176.676	2.0	0.666	Faces
1	3	2.116	179.709	3.0	1.035	Faces
1	2	2.117	182.742	2.0	0.827	Shapes
1	2	2.116	188.759	2.0	0.728	Shapes
1	2	2.116	191.792	2.0	0.702	Shapes
1	3	2.116	194.825	3.0	0.645	Shapes
1	3	2.117	197.858	3.0	0.541	Shapes
1	2	2.116	200.875	2.0	0.635	Shapes
1	3	2.116	203.908	3.0	0.659	Shapes
1	2	2.116	209.941	2.0	0.854	Faces
1	3	2.117	212.974	3.0	0.857	Faces
0	3	2.117	216.007	n/a	0.0	Faces
1	2	2.117	219.04	2.0	0.874	Faces
1	3	2.116	222.074	3.0	0.697	Faces
1	3	2.116	225.107	3.0	0.738	Shapes
1	2	2.116	231.124	2.0	0.872	Shapes
1	2	2.117	234.156	2.0	0.677	Shapes
1	3	2.117	237.173	3.0	0.747	Shapes
1	3	2.117	240.206	3.0	0.734	Shapes
1	2	2.116	243.223	2.0	0.741	Shapes
1	3	2.116	246.256	3.0	0.75	Shapes
1	2	2.116	252.289	2.0	1.008	Faces
1	3	2.117	255.322	3.0	0.881	Faces
1	2	2.117	258.355	2.0	0.931	Faces
1	2	2.116	261.389	2.0	0.708	Faces
1	2	2.116	264.422	2.0	0.688	Faces
1	3	2.116	267.455	3.0	1.343	Faces
